N,itm,Date,u,v
1,1,2024-09-01 08:30:00,-0.05,0.34
2,2,2024-09-01 09:30:00,-0.04,0.35
3,3,2024-09-01 10:30:00,-0.06,0.36
4,4,2024-09-01 11:30:00,-0.07,0.38
5,5,2024-09-01 12:30:00,-0.07,0.4
6,6,2024-09-01 13:30:00,-0.09,0.43
7,7,2024-09-01 14:30:00,-0.09,0.44
8,8,2024-09-01 15:30:00,-0.08,0.46
9,9,2024-09-01 16:30:00,-0.07,0.46
10,10,2024-09-01 17:30:00,-0.06,0.45
11,11,2024-09-01 18:30:00,-0.05,0.44
12,12,2024-09-01 19:30:00,-0.05,0.42
13,13,2024-09-01 20:30:00,-0.05,0.4
14,14,2024-09-01 21:30:00,-0.04,0.39
15,15,2024-09-01 22:30:00,-0.03,0.38
16,16,2024-09-01 23:30:00,-0.03,0.37
17,17,2024-09-02 00:30:00,-0.03,0.37
18,18,2024-09-02 01:30:00,-0.01,0.36
19,19,2024-09-02 02:30:00,-0.01,0.36
20,20,2024-09-02 03:30:00,-0.01,0.35
21,21,2024-09-02 04:30:00,-0.01,0.34
22,22,2024-09-02 05:30:00,-0.01,0.32
23,23,2024-09-02 06:30:00,-0.01,0.3
24,24,2024-09-02 07:30:00,-0.03,0.28
25,25,2024-09-02 08:30:00,-0.02,0.26
26,26,2024-09-02 09:30:00,-0.05,0.25
27,27,2024-09-02 10:30:00,-0.07,0.24
28,28,2024-09-02 11:30:00,-0.06,0.25
29,29,2024-09-02 12:30:00,-0.08,0.25
30,30,2024-09-02 13:30:00,-0.06,0.24
31,31,2024-09-02 14:30:00,-0.06,0.25
32,32,2024-09-02 15:30:00,-0.04,0.24
33,33,2024-09-02 16:30:00,-0.04,0.24
34,34,2024-09-02 17:30:00,-0.04,0.24
35,35,2024-09-02 18:30:00,-0.03,0.23
36,36,2024-09-02 19:30:00,-0.05,0.22
37,37,2024-09-02 20:30:00,-0.04,0.22
38,38,2024-09-02 21:30:00,-0.05,0.22
39,39,2024-09-02 22:30:00,-0.04,0.23
40,40,2024-09-02 23:30:00,-0.04,0.22
41,41,2024-09-03 00:30:00,-0.02,0.23
42,42,2024-09-03 01:30:00,-0.03,0.21
43,43,2024-09-03 02:30:00,-0.02,0.22
44,44,2024-09-03 03:30:00,-0.02,0.21
45,45,2024-09-03 04:30:00,0.0,0.2
46,46,2024-09-03 05:30:00,0.03,0.2
47,47,2024-09-03 06:30:00,0.01,0.16
48,48,2024-09-03 07:30:00,-0.0,0.15
49,49,2024-09-03 08:30:00,-0.01,0.14
50,50,2024-09-03 09:30:00,-0.02,0.13
51,51,2024-09-03 10:30:00,-0.02,0.13
52,52,2024-09-03 11:30:00,-0.03,0.12
53,53,2024-09-03 12:30:00,-0.02,0.12
54,54,2024-09-03 13:30:00,-0.01,0.12
55,55,2024-09-03 14:30:00,-0.02,0.12
56,56,2024-09-03 15:30:00,-0.01,0.13
57,57,2024-09-03 16:30:00,-0.01,0.13
58,58,2024-09-03 17:30:00,-0.01,0.13
59,59,2024-09-03 18:30:00,-0.01,0.14
60,60,2024-09-03 19:30:00,-0.01,0.14
61,61,2024-09-03 20:30:00,-0.01,0.15
62,62,2024-09-03 21:30:00,-0.01,0.16
63,63,2024-09-03 22:30:00,-0.01,0.16
64,64,2024-09-03 23:30:00,-0.0,0.17
65,65,2024-09-04 00:30:00,-0.01,0.18
66,66,2024-09-04 01:30:00,-0.02,0.19
67,67,2024-09-04 02:30:00,-0.01,0.21
68,68,2024-09-04 03:30:00,-0.02,0.21
69,69,2024-09-04 04:30:00,-0.01,0.22
70,70,2024-09-04 05:30:00,-0.01,0.22
71,71,2024-09-04 06:30:00,-0.02,0.2
72,72,2024-09-04 07:30:00,-0.02,0.19
73,73,2024-09-04 08:30:00,-0.03,0.18
74,74,2024-09-04 09:30:00,-0.03,0.17
75,75,2024-09-04 10:30:00,-0.03,0.18
76,76,2024-09-04 11:30:00,-0.04,0.17
77,77,2024-09-04 12:30:00,-0.04,0.18
78,78,2024-09-04 13:30:00,-0.04,0.19
79,79,2024-09-04 14:30:00,-0.03,0.2
80,80,2024-09-04 15:30:00,-0.0,0.21
81,81,2024-09-04 16:30:00,0.02,0.2
82,82,2024-09-04 17:30:00,0.02,0.18
83,83,2024-09-04 18:30:00,0.04,0.17
84,84,2024-09-04 19:30:00,0.04,0.16
85,85,2024-09-04 20:30:00,0.05,0.15
86,86,2024-09-04 21:30:00,0.05,0.15
87,87,2024-09-04 22:30:00,0.04,0.14
88,88,2024-09-04 23:30:00,0.04,0.15
89,89,2024-09-05 00:30:00,0.03,0.15
90,90,2024-09-05 01:30:00,0.03,0.15
91,91,2024-09-05 02:30:00,0.02,0.15
92,92,2024-09-05 03:30:00,0.03,0.16
93,93,2024-09-05 04:30:00,0.05,0.17
94,94,2024-09-05 05:30:00,0.04,0.16
95,95,2024-09-05 06:30:00,0.03,0.16
96,96,2024-09-05 07:30:00,0.01,0.16
97,97,2024-09-05 08:30:00,-0.0,0.17
98,98,2024-09-05 09:30:00,0.0,0.17
99,99,2024-09-05 10:30:00,0.01,0.18
100,100,2024-09-05 11:30:00,-0.0,0.17
101,101,2024-09-05 12:30:00,0.0,0.19
102,102,2024-09-05 13:30:00,0.02,0.23
103,103,2024-09-05 14:30:00,0.04,0.26
104,104,2024-09-05 15:30:00,0.06,0.25
105,105,2024-09-05 16:30:00,0.03,0.21
106,106,2024-09-05 17:30:00,0.01,0.18
107,107,2024-09-05 18:30:00,0.0,0.16
108,108,2024-09-05 19:30:00,0.01,0.14
109,109,2024-09-05 20:30:00,0.01,0.12
110,110,2024-09-05 21:30:00,-0.0,0.1
111,111,2024-09-05 22:30:00,-0.01,0.09
112,112,2024-09-05 23:30:00,-0.03,0.08
113,113,2024-09-06 00:30:00,-0.05,0.08
114,114,2024-09-06 01:30:00,-0.06,0.09
115,115,2024-09-06 02:30:00,-0.05,0.1
116,116,2024-09-06 03:30:00,-0.03,0.1
