N,itm,Date,t,s
1,1,2025-10-27 18:30:00,14.76,33.7
2,2,2025-10-27 19:30:00,14.73,33.7
3,3,2025-10-27 20:30:00,14.7,33.7
4,4,2025-10-27 21:30:00,14.67,33.7
5,5,2025-10-27 22:30:00,14.65,33.7
6,6,2025-10-27 23:30:00,14.62,33.7
7,7,2025-10-28 00:30:00,14.6,33.7
8,8,2025-10-28 01:30:00,14.58,33.7
9,9,2025-10-28 02:30:00,14.56,33.7
10,10,2025-10-28 03:30:00,14.54,33.7
11,11,2025-10-28 04:30:00,14.53,33.7
12,12,2025-10-28 05:30:00,14.51,33.7
13,13,2025-10-28 06:30:00,14.49,33.7
14,14,2025-10-28 07:30:00,14.48,33.7
15,15,2025-10-28 08:30:00,14.46,33.7
16,16,2025-10-28 09:30:00,14.44,33.7
17,17,2025-10-28 10:30:00,14.42,33.7
18,18,2025-10-28 11:30:00,14.41,33.7
19,19,2025-10-28 12:30:00,14.39,33.7
20,20,2025-10-28 13:30:00,14.37,33.7
21,21,2025-10-28 14:30:00,14.35,33.7
22,22,2025-10-28 15:30:00,14.33,33.7
23,23,2025-10-28 16:30:00,14.32,33.7
24,24,2025-10-28 17:30:00,14.3,33.7
25,25,2025-10-28 18:30:00,14.29,33.7
26,26,2025-10-28 19:30:00,14.27,33.7
27,27,2025-10-28 20:30:00,14.26,33.7
28,28,2025-10-28 21:30:00,14.25,33.7
29,29,2025-10-28 22:30:00,14.23,33.7
30,30,2025-10-28 23:30:00,14.22,33.7
31,31,2025-10-29 00:30:00,14.22,33.7
32,32,2025-10-29 01:30:00,14.21,33.7
33,33,2025-10-29 02:30:00,14.2,33.7
34,34,2025-10-29 03:30:00,14.2,33.7
35,35,2025-10-29 04:30:00,14.19,33.7
36,36,2025-10-29 05:30:00,14.19,33.7
37,37,2025-10-29 06:30:00,14.18,33.7
38,38,2025-10-29 07:30:00,14.17,33.7
39,39,2025-10-29 08:30:00,14.16,33.7
40,40,2025-10-29 09:30:00,14.16,33.7
41,41,2025-10-29 10:30:00,14.15,33.7
42,42,2025-10-29 11:30:00,14.14,33.7
43,43,2025-10-29 12:30:00,14.14,33.7
44,44,2025-10-29 13:30:00,14.13,33.7
45,45,2025-10-29 14:30:00,14.12,33.7
46,46,2025-10-29 15:30:00,14.11,33.7
47,47,2025-10-29 16:30:00,14.11,33.7
48,48,2025-10-29 17:30:00,14.1,33.7
49,49,2025-10-29 18:30:00,14.09,33.7
50,50,2025-10-29 19:30:00,14.08,33.7
51,51,2025-10-29 20:30:00,14.07,33.7
52,52,2025-10-29 21:30:00,14.05,33.7
53,53,2025-10-29 22:30:00,14.02,33.7
