N,itm,Date,u,v
3,3,2024-10-31 00:30:00,-0.07,-0.04
4,4,2024-10-31 01:30:00,-0.07,-0.03
5,5,2024-10-31 02:30:00,-0.06,-0.01
6,6,2024-10-31 03:30:00,-0.06,-0.01
7,7,2024-10-31 04:30:00,-0.05,0.0
8,8,2024-10-31 05:30:00,-0.04,0.01
9,9,2024-10-31 06:30:00,-0.03,0.02
10,10,2024-10-31 07:30:00,-0.03,0.01
11,11,2024-10-31 08:30:00,-0.02,0.02
12,12,2024-10-31 09:30:00,-0.02,0.01
13,13,2024-10-31 10:30:00,-0.01,0.0
14,14,2024-10-31 11:30:00,0.0,0.0
15,15,2024-10-31 12:30:00,-0.01,-0.01
16,16,2024-10-31 13:30:00,0.01,-0.0
17,17,2024-10-31 14:30:00,0.0,-0.01
18,18,2024-10-31 15:30:00,0.01,-0.01
19,19,2024-10-31 16:30:00,0.0,-0.01
20,20,2024-10-31 17:30:00,0.01,-0.01
21,21,2024-10-31 18:30:00,0.01,-0.0
22,22,2024-10-31 19:30:00,0.0,-0.01
23,23,2024-10-31 20:30:00,0.01,-0.01
24,24,2024-10-31 21:30:00,-0.0,-0.01
25,25,2024-10-31 22:30:00,-0.01,-0.01
26,26,2024-10-31 23:30:00,-0.0,-0.0
27,27,2024-11-01 00:30:00,-0.01,0.01
28,28,2024-11-01 01:30:00,-0.0,0.02
29,29,2024-11-01 02:30:00,0.02,0.05
30,30,2024-11-01 03:30:00,0.01,0.04
31,31,2024-11-01 04:30:00,0.02,0.04
32,32,2024-11-01 05:30:00,0.02,0.04
33,33,2024-11-01 06:30:00,0.01,0.03
34,34,2024-11-01 07:30:00,0.01,0.04
35,35,2024-11-01 08:30:00,0.01,0.04
36,36,2024-11-01 09:30:00,0.01,0.04
37,37,2024-11-01 10:30:00,0.01,0.04
38,38,2024-11-01 11:30:00,0.02,0.03
39,39,2024-11-01 12:30:00,0.02,0.03
40,40,2024-11-01 13:30:00,0.04,0.03
41,41,2024-11-01 14:30:00,0.04,0.02
42,42,2024-11-01 15:30:00,0.05,0.02
43,43,2024-11-01 16:30:00,0.04,0.01
44,44,2024-11-01 17:30:00,0.04,0.02
45,45,2024-11-01 18:30:00,0.03,0.01
46,46,2024-11-01 19:30:00,0.03,0.0
47,47,2024-11-01 20:30:00,0.02,0.0
48,48,2024-11-01 21:30:00,0.01,-0.0
49,49,2024-11-01 22:30:00,0.01,-0.0
50,50,2024-11-01 23:30:00,0.01,-0.0
51,51,2024-11-02 00:30:00,0.0,-0.0
52,52,2024-11-02 01:30:00,-0.0,-0.0
53,53,2024-11-02 02:30:00,0.01,0.01
54,54,2024-11-02 03:30:00,0.0,0.01
55,55,2024-11-02 04:30:00,0.0,0.01
56,56,2024-11-02 05:30:00,0.0,0.01
57,57,2024-11-02 06:30:00,0.01,0.01
58,58,2024-11-02 07:30:00,0.0,0.01
59,59,2024-11-02 08:30:00,-0.01,0.0
60,60,2024-11-02 09:30:00,0.0,0.0
61,61,2024-11-02 10:30:00,-0.0,0.0
62,62,2024-11-02 11:30:00,-0.0,-0.01
63,63,2024-11-02 12:30:00,-0.0,-0.01
64,64,2024-11-02 13:30:00,-0.01,-0.01
65,65,2024-11-02 14:30:00,-0.01,-0.01
66,66,2024-11-02 15:30:00,-0.01,-0.01
67,67,2024-11-02 16:30:00,-0.02,-0.01
68,68,2024-11-02 17:30:00,-0.02,-0.01
69,69,2024-11-02 18:30:00,-0.02,-0.01
70,70,2024-11-02 19:30:00,-0.02,-0.0
71,71,2024-11-02 20:30:00,-0.03,-0.0
72,72,2024-11-02 21:30:00,-0.02,0.0
73,73,2024-11-02 22:30:00,-0.02,0.01
74,74,2024-11-02 23:30:00,-0.02,0.01
75,75,2024-11-03 00:30:00,-0.03,0.01
76,76,2024-11-03 01:30:00,-0.0,0.02
77,77,2024-11-03 02:30:00,0.02,0.04
78,78,2024-11-03 03:30:00,-0.01,0.01
79,79,2024-11-03 04:30:00,0.03,0.03
80,80,2024-11-03 05:30:00,0.01,0.03
81,81,2024-11-03 06:30:00,0.03,0.03
82,82,2024-11-03 07:30:00,0.02,0.02
83,83,2024-11-03 08:30:00,0.01,0.0
84,84,2024-11-03 09:30:00,0.04,0.01
85,85,2024-11-03 10:30:00,0.01,-0.01
86,86,2024-11-03 11:30:00,0.02,-0.0
87,87,2024-11-03 12:30:00,0.01,-0.01
88,88,2024-11-03 13:30:00,0.02,0.01
89,89,2024-11-03 14:30:00,0.01,0.01
90,90,2024-11-03 15:30:00,0.01,0.02
91,91,2024-11-03 16:30:00,0.01,0.02
92,92,2024-11-03 17:30:00,0.01,0.03
93,93,2024-11-03 18:30:00,0.03,0.04
94,94,2024-11-03 19:30:00,0.0,0.03
95,95,2024-11-03 20:30:00,0.02,0.05
96,96,2024-11-03 21:30:00,0.01,0.05
97,97,2024-11-03 22:30:00,0.02,0.07
98,98,2024-11-03 23:30:00,0.02,0.07
99,99,2024-11-04 00:30:00,0.03,0.09
100,100,2024-11-04 01:30:00,0.08,0.14
101,101,2024-11-04 02:30:00,0.11,0.13
102,102,2024-11-04 03:30:00,0.14,0.12
103,103,2024-11-04 04:30:00,0.14,0.1
104,104,2024-11-04 05:30:00,0.15,0.08
105,105,2024-11-04 06:30:00,0.14,0.06
106,106,2024-11-04 07:30:00,0.14,0.05
107,107,2024-11-04 08:30:00,0.14,0.03
108,108,2024-11-04 09:30:00,0.13,0.01
109,109,2024-11-04 10:30:00,0.14,-0.0
110,110,2024-11-04 11:30:00,0.12,-0.02
111,111,2024-11-04 12:30:00,0.11,-0.03
112,112,2024-11-04 13:30:00,0.08,-0.04
113,113,2024-11-04 14:30:00,0.07,-0.04
114,114,2024-11-04 15:30:00,0.06,-0.04
115,115,2024-11-04 16:30:00,0.04,-0.04
116,116,2024-11-04 17:30:00,0.04,-0.03
117,117,2024-11-04 18:30:00,0.03,-0.03
118,118,2024-11-04 19:30:00,0.02,-0.01
119,119,2024-11-04 20:30:00,0.01,-0.01
120,120,2024-11-04 21:30:00,0.01,0.01
121,121,2024-11-04 22:30:00,0.02,0.02
122,122,2024-11-04 23:30:00,0.02,0.03
123,123,2024-11-05 00:30:00,0.04,0.04
124,124,2024-11-05 01:30:00,0.05,0.04
125,125,2024-11-05 02:30:00,0.07,0.06
126,126,2024-11-05 03:30:00,0.07,0.05
127,127,2024-11-05 04:30:00,0.09,0.05
128,128,2024-11-05 05:30:00,0.1,0.05
129,129,2024-11-05 06:30:00,0.09,0.05
130,130,2024-11-05 07:30:00,0.09,0.05
131,131,2024-11-05 08:30:00,0.09,0.04
132,132,2024-11-05 09:30:00,0.09,0.05
133,133,2024-11-05 10:30:00,0.07,0.04
134,134,2024-11-05 11:30:00,0.07,0.04
135,135,2024-11-05 12:30:00,0.06,0.04
136,136,2024-11-05 13:30:00,0.06,0.05
137,137,2024-11-05 14:30:00,0.05,0.04
138,138,2024-11-05 15:30:00,0.04,0.04
139,139,2024-11-05 16:30:00,0.04,0.05
140,140,2024-11-05 17:30:00,0.04,0.05
141,141,2024-11-05 18:30:00,0.05,0.06
142,142,2024-11-05 19:30:00,0.04,0.05
143,143,2024-11-05 20:30:00,0.05,0.05
144,144,2024-11-05 21:30:00,0.05,0.05
145,145,2024-11-05 22:30:00,0.05,0.04
146,146,2024-11-05 23:30:00,0.05,0.03
147,147,2024-11-06 00:30:00,0.05,0.02
148,148,2024-11-06 01:30:00,0.04,0.01
149,149,2024-11-06 02:30:00,0.02,-0.0
150,150,2024-11-06 03:30:00,0.05,0.02
151,151,2024-11-06 04:30:00,0.02,0.0
152,152,2024-11-06 05:30:00,0.03,0.0
153,153,2024-11-06 06:30:00,0.02,0.0
154,154,2024-11-06 07:30:00,0.01,0.0
155,155,2024-11-06 08:30:00,0.02,0.01
156,156,2024-11-06 09:30:00,-0.0,-0.01
157,157,2024-11-06 10:30:00,0.02,0.01
158,158,2024-11-06 11:30:00,-0.0,0.01
159,159,2024-11-06 12:30:00,0.01,0.02
160,160,2024-11-06 13:30:00,0.0,0.01
161,161,2024-11-06 14:30:00,0.01,0.02
162,162,2024-11-06 15:30:00,0.01,0.02
163,163,2024-11-06 16:30:00,0.01,0.02
164,164,2024-11-06 17:30:00,0.02,0.03
165,165,2024-11-06 18:30:00,-0.01,0.01
166,166,2024-11-06 19:30:00,0.01,0.02
167,167,2024-11-06 20:30:00,-0.01,0.01
168,168,2024-11-06 21:30:00,-0.02,-0.01
169,169,2024-11-06 22:30:00,-0.02,-0.02
170,170,2024-11-06 23:30:00,-0.03,-0.01
171,171,2024-11-07 00:30:00,-0.02,0.01
172,172,2024-11-07 01:30:00,-0.04,0.0
173,173,2024-11-07 02:30:00,-0.03,0.02
174,174,2024-11-07 03:30:00,-0.0,0.05
175,175,2024-11-07 04:30:00,-0.0,0.06
176,176,2024-11-07 05:30:00,0.02,0.06
177,177,2024-11-07 06:30:00,0.03,0.06
178,178,2024-11-07 07:30:00,0.05,0.07
179,179,2024-11-07 08:30:00,0.06,0.01
180,180,2024-11-07 09:30:00,0.05,-0.09
181,181,2024-11-07 10:30:00,0.03,-0.11
182,182,2024-11-07 11:30:00,-0.01,-0.11
183,183,2024-11-07 12:30:00,-0.01,-0.07
184,184,2024-11-07 13:30:00,-0.04,-0.06
185,185,2024-11-07 14:30:00,-0.04,-0.04
186,186,2024-11-07 15:30:00,-0.05,-0.03
187,187,2024-11-07 16:30:00,-0.05,-0.02
188,188,2024-11-07 17:30:00,-0.06,-0.01
189,189,2024-11-07 18:30:00,-0.07,-0.01
190,190,2024-11-07 19:30:00,-0.06,0.0
191,191,2024-11-07 20:30:00,-0.06,0.01
192,192,2024-11-07 21:30:00,-0.05,0.02
193,193,2024-11-07 22:30:00,-0.04,0.02
194,194,2024-11-07 23:30:00,-0.03,0.03
195,195,2024-11-08 00:30:00,-0.02,0.03
196,196,2024-11-08 01:30:00,0.0,0.04
197,197,2024-11-08 02:30:00,0.02,0.04
198,198,2024-11-08 03:30:00,0.03,0.04
199,199,2024-11-08 04:30:00,0.06,0.05
200,200,2024-11-08 05:30:00,0.07,0.04
201,201,2024-11-08 06:30:00,0.09,0.05
202,202,2024-11-08 07:30:00,0.1,0.04
203,203,2024-11-08 08:30:00,0.1,0.03
204,204,2024-11-08 09:30:00,0.12,0.03
205,205,2024-11-08 10:30:00,0.12,0.03
206,206,2024-11-08 11:30:00,0.11,0.01
207,207,2024-11-08 12:30:00,0.11,0.01
208,208,2024-11-08 13:30:00,0.09,-0.01
209,209,2024-11-08 14:30:00,0.08,-0.02
210,210,2024-11-08 15:30:00,0.08,-0.02
211,211,2024-11-08 16:30:00,0.06,-0.02
212,212,2024-11-08 17:30:00,0.04,-0.02
213,213,2024-11-08 18:30:00,0.04,-0.02
214,214,2024-11-08 19:30:00,0.03,-0.01
215,215,2024-11-08 20:30:00,0.02,-0.0
216,216,2024-11-08 21:30:00,0.02,0.01
217,217,2024-11-08 22:30:00,0.02,0.03
218,218,2024-11-08 23:30:00,0.02,0.04
219,219,2024-11-09 00:30:00,0.03,0.04
220,220,2024-11-09 01:30:00,0.03,0.05
221,221,2024-11-09 02:30:00,0.03,0.05
222,222,2024-11-09 03:30:00,0.04,0.06
223,223,2024-11-09 04:30:00,0.05,0.06
224,224,2024-11-09 05:30:00,0.06,0.06
225,225,2024-11-09 06:30:00,0.07,0.06
226,226,2024-11-09 07:30:00,0.08,0.06
227,227,2024-11-09 08:30:00,0.09,0.05
228,228,2024-11-09 09:30:00,0.09,0.05
229,229,2024-11-09 10:30:00,0.09,0.04
230,230,2024-11-09 11:30:00,0.08,0.03
231,231,2024-11-09 12:30:00,0.08,0.03
232,232,2024-11-09 13:30:00,0.06,0.02
233,233,2024-11-09 14:30:00,0.05,0.02
234,234,2024-11-09 15:30:00,0.05,0.02
235,235,2024-11-09 16:30:00,0.04,0.02
236,236,2024-11-09 17:30:00,0.04,0.02
237,237,2024-11-09 18:30:00,0.03,0.02
238,238,2024-11-09 19:30:00,0.03,0.03
239,239,2024-11-09 20:30:00,0.02,0.04
240,240,2024-11-09 21:30:00,0.03,0.05
241,241,2024-11-09 22:30:00,0.03,0.07
242,242,2024-11-09 23:30:00,0.03,0.09
243,243,2024-11-10 00:30:00,0.04,0.11
244,244,2024-11-10 01:30:00,0.05,0.12
245,245,2024-11-10 02:30:00,0.07,0.13
246,246,2024-11-10 03:30:00,0.09,0.14
247,247,2024-11-10 04:30:00,0.1,0.14
248,248,2024-11-10 05:30:00,0.11,0.14
249,249,2024-11-10 06:30:00,0.11,0.14
250,250,2024-11-10 07:30:00,0.11,0.14
251,251,2024-11-10 08:30:00,0.13,0.14
252,252,2024-11-10 09:30:00,0.13,0.14
253,253,2024-11-10 10:30:00,0.13,0.14
254,254,2024-11-10 11:30:00,0.15,0.14
255,255,2024-11-10 12:30:00,0.14,0.14
256,256,2024-11-10 13:30:00,0.16,0.15
257,257,2024-11-10 14:30:00,0.17,0.15
258,258,2024-11-10 15:30:00,0.18,0.14
259,259,2024-11-10 16:30:00,0.21,0.13
260,260,2024-11-10 17:30:00,0.23,0.09
261,261,2024-11-10 18:30:00,0.19,0.06
262,262,2024-11-10 19:30:00,0.15,0.05
263,263,2024-11-10 20:30:00,0.13,0.04
264,264,2024-11-10 21:30:00,0.12,0.05
265,265,2024-11-10 22:30:00,0.1,0.05
266,266,2024-11-10 23:30:00,0.1,0.05
267,267,2024-11-11 00:30:00,0.1,0.06
268,268,2024-11-11 01:30:00,0.1,0.06
269,269,2024-11-11 02:30:00,0.1,0.07
270,270,2024-11-11 03:30:00,0.09,0.07
271,271,2024-11-11 04:30:00,0.09,0.07
272,272,2024-11-11 05:30:00,0.09,0.09
273,273,2024-11-11 06:30:00,0.09,0.09
274,274,2024-11-11 07:30:00,0.08,0.09
275,275,2024-11-11 08:30:00,0.09,0.1
276,276,2024-11-11 09:30:00,0.09,0.1
277,277,2024-11-11 10:30:00,0.1,0.1
278,278,2024-11-11 11:30:00,0.09,0.1
279,279,2024-11-11 12:30:00,0.09,0.09
280,280,2024-11-11 13:30:00,0.09,0.09
281,281,2024-11-11 14:30:00,0.08,0.08
282,282,2024-11-11 15:30:00,0.07,0.07
283,283,2024-11-11 16:30:00,0.06,0.06
284,284,2024-11-11 17:30:00,0.05,0.05
285,285,2024-11-11 18:30:00,0.04,0.05
286,286,2024-11-11 19:30:00,0.03,0.05
287,287,2024-11-11 20:30:00,0.02,0.05
288,288,2024-11-11 21:30:00,0.02,0.07
289,289,2024-11-11 22:30:00,0.02,0.07
290,290,2024-11-11 23:30:00,0.03,0.07
291,291,2024-11-12 00:30:00,0.03,0.07
292,292,2024-11-12 01:30:00,0.04,0.07
293,293,2024-11-12 02:30:00,0.06,0.08
294,294,2024-11-12 03:30:00,0.05,0.06
295,295,2024-11-12 04:30:00,0.06,0.04
296,296,2024-11-12 05:30:00,0.06,0.03
297,297,2024-11-12 06:30:00,0.08,0.03
298,298,2024-11-12 07:30:00,0.08,0.01
299,299,2024-11-12 08:30:00,0.09,0.0
