N,itm,Date,t,s
1,1,2025-10-29 18:30:00,14.2,33.7
2,2,2025-10-29 19:30:00,14.2,33.7
3,3,2025-10-29 20:30:00,14.2,33.7
4,4,2025-10-29 21:30:00,14.2,33.7
5,5,2025-10-29 22:30:00,14.2,33.7
6,6,2025-10-29 23:30:00,14.21,33.7
7,7,2025-10-30 00:30:00,14.22,33.7
8,8,2025-10-30 01:30:00,14.23,33.7
9,9,2025-10-30 02:30:00,14.24,33.7
10,10,2025-10-30 03:30:00,14.24,33.7
11,11,2025-10-30 04:30:00,14.24,33.7
12,12,2025-10-30 05:30:00,14.24,33.7
13,13,2025-10-30 06:30:00,14.24,33.7
14,14,2025-10-30 07:30:00,14.24,33.7
15,15,2025-10-30 08:30:00,14.23,33.7
16,16,2025-10-30 09:30:00,14.22,33.7
17,17,2025-10-30 10:30:00,14.21,33.7
18,18,2025-10-30 11:30:00,14.2,33.7
19,19,2025-10-30 12:30:00,14.19,33.7
20,20,2025-10-30 13:30:00,14.17,33.7
21,21,2025-10-30 14:30:00,14.16,33.7
22,22,2025-10-30 15:30:00,14.16,33.7
23,23,2025-10-30 16:30:00,14.15,33.7
24,24,2025-10-30 17:30:00,14.14,33.7
25,25,2025-10-30 18:30:00,14.14,33.7
26,26,2025-10-30 19:30:00,14.13,33.7
27,27,2025-10-30 20:30:00,14.12,33.7
28,28,2025-10-30 21:30:00,14.12,33.7
29,29,2025-10-30 22:30:00,14.12,33.7
30,30,2025-10-30 23:30:00,14.11,33.7
31,31,2025-10-31 00:30:00,14.11,33.7
32,32,2025-10-31 01:30:00,14.12,33.7
33,33,2025-10-31 02:30:00,14.12,33.7
34,34,2025-10-31 03:30:00,14.13,33.7
35,35,2025-10-31 04:30:00,14.13,33.7
36,36,2025-10-31 05:30:00,14.13,33.7
37,37,2025-10-31 06:30:00,14.13,33.7
38,38,2025-10-31 07:30:00,14.12,33.7
39,39,2025-10-31 08:30:00,14.12,33.7
40,40,2025-10-31 09:30:00,14.11,33.7
41,41,2025-10-31 10:30:00,14.1,33.7
42,42,2025-10-31 11:30:00,14.09,33.7
43,43,2025-10-31 12:30:00,14.09,33.7
44,44,2025-10-31 13:30:00,14.08,33.7
45,45,2025-10-31 14:30:00,14.08,33.7
46,46,2025-10-31 15:30:00,14.08,33.7
47,47,2025-10-31 16:30:00,14.08,33.7
48,48,2025-10-31 17:30:00,14.08,33.7
49,49,2025-10-31 18:30:00,14.06,33.7
50,50,2025-10-31 19:30:00,14.02,33.7
51,51,2025-10-31 20:30:00,14.0,33.6
52,52,2025-10-31 21:30:00,14.0,33.6
53,53,2025-10-31 22:30:00,14.0,33.6
54,54,2025-10-31 23:30:00,14.01,33.6
55,55,2025-11-01 00:30:00,14.02,33.6
56,56,2025-11-01 01:30:00,14.03,33.6
57,57,2025-11-01 02:30:00,14.04,33.6
58,58,2025-11-01 03:30:00,14.04,33.6
59,59,2025-11-01 04:30:00,14.04,33.6
60,60,2025-11-01 05:30:00,14.04,33.6
61,61,2025-11-01 06:30:00,14.03,33.6
62,62,2025-11-01 07:30:00,14.02,33.6
63,63,2025-11-01 08:30:00,14.01,33.6
64,64,2025-11-01 09:30:00,14.0,33.6
65,65,2025-11-01 10:30:00,13.99,33.6
66,66,2025-11-01 11:30:00,13.97,33.6
67,67,2025-11-01 12:30:00,13.96,33.5
