N,itm,Date,u,v
1,1,2024-09-01 08:30:00,0.02,0.21
2,2,2024-09-01 09:30:00,0.02,0.22
3,3,2024-09-01 10:30:00,0.01,0.22
4,4,2024-09-01 11:30:00,0.01,0.23
5,5,2024-09-01 12:30:00,0.01,0.24
6,6,2024-09-01 13:30:00,0.01,0.24
7,7,2024-09-01 14:30:00,0.02,0.25
8,8,2024-09-01 15:30:00,0.02,0.25
9,9,2024-09-01 16:30:00,0.02,0.25
10,10,2024-09-01 17:30:00,0.02,0.25
11,11,2024-09-01 18:30:00,0.02,0.25
12,12,2024-09-01 19:30:00,0.02,0.24
13,13,2024-09-01 20:30:00,0.02,0.23
14,14,2024-09-01 21:30:00,0.02,0.21
15,15,2024-09-01 22:30:00,0.02,0.2
16,16,2024-09-01 23:30:00,0.03,0.18
17,17,2024-09-02 00:30:00,0.02,0.16
18,18,2024-09-02 01:30:00,0.02,0.15
19,19,2024-09-02 02:30:00,0.02,0.14
20,20,2024-09-02 03:30:00,0.01,0.12
21,21,2024-09-02 04:30:00,0.01,0.12
22,22,2024-09-02 05:30:00,0.01,0.12
23,23,2024-09-02 06:30:00,0.01,0.13
24,24,2024-09-02 07:30:00,-0.01,0.11
25,25,2024-09-02 08:30:00,0.01,0.14
26,26,2024-09-02 09:30:00,-0.0,0.14
27,27,2024-09-02 10:30:00,0.0,0.14
28,28,2024-09-02 11:30:00,0.02,0.16
29,29,2024-09-02 12:30:00,0.01,0.14
30,30,2024-09-02 13:30:00,0.02,0.17
31,31,2024-09-02 14:30:00,0.02,0.16
32,32,2024-09-02 15:30:00,0.02,0.18
33,33,2024-09-02 16:30:00,0.02,0.17
34,34,2024-09-02 17:30:00,0.03,0.17
35,35,2024-09-02 18:30:00,0.04,0.17
36,36,2024-09-02 19:30:00,0.03,0.15
37,37,2024-09-02 20:30:00,0.04,0.14
38,38,2024-09-02 21:30:00,0.04,0.13
39,39,2024-09-02 22:30:00,0.05,0.11
40,40,2024-09-02 23:30:00,0.05,0.08
41,41,2024-09-03 00:30:00,0.05,0.08
42,42,2024-09-03 01:30:00,0.04,0.05
43,43,2024-09-03 02:30:00,0.04,0.05
44,44,2024-09-03 03:30:00,0.03,0.03
45,45,2024-09-03 04:30:00,0.02,0.03
46,46,2024-09-03 05:30:00,0.01,0.03
47,47,2024-09-03 06:30:00,0.01,0.02
48,48,2024-09-03 07:30:00,-0.0,0.03
49,49,2024-09-03 08:30:00,-0.01,0.03
50,50,2024-09-03 09:30:00,-0.01,0.04
51,51,2024-09-03 10:30:00,-0.0,0.06
52,52,2024-09-03 11:30:00,0.0,0.05
53,53,2024-09-03 12:30:00,0.01,0.06
54,54,2024-09-03 13:30:00,0.02,0.07
55,55,2024-09-03 14:30:00,0.02,0.07
56,56,2024-09-03 15:30:00,0.02,0.09
57,57,2024-09-03 16:30:00,0.03,0.09
58,58,2024-09-03 17:30:00,0.03,0.1
59,59,2024-09-03 18:30:00,0.03,0.1
60,60,2024-09-03 19:30:00,0.02,0.1
61,61,2024-09-03 20:30:00,0.02,0.1
62,62,2024-09-03 21:30:00,0.02,0.1
63,63,2024-09-03 22:30:00,0.01,0.1
64,64,2024-09-03 23:30:00,0.01,0.1
65,65,2024-09-04 00:30:00,0.01,0.1
66,66,2024-09-04 01:30:00,0.01,0.08
67,67,2024-09-04 02:30:00,0.02,0.1
68,68,2024-09-04 03:30:00,0.02,0.08
69,69,2024-09-04 04:30:00,0.03,0.08
70,70,2024-09-04 05:30:00,0.03,0.06
71,71,2024-09-04 06:30:00,0.04,0.05
72,72,2024-09-04 07:30:00,0.04,0.05
73,73,2024-09-04 08:30:00,0.04,0.01
74,74,2024-09-04 09:30:00,0.04,0.01
75,75,2024-09-04 10:30:00,0.03,-0.01
76,76,2024-09-04 11:30:00,0.02,-0.02
77,77,2024-09-04 12:30:00,0.01,-0.02
