N,itm,Date,u,v
1,1,2025-09-28 18:30:00,0.02,-0.04
2,2,2025-09-28 19:30:00,0.02,-0.03
3,3,2025-09-28 20:30:00,0.01,-0.03
4,4,2025-09-28 21:30:00,0.01,-0.02
5,5,2025-09-28 22:30:00,0.01,-0.02
6,6,2025-09-28 23:30:00,0.01,-0.01
7,7,2025-09-29 00:30:00,0.01,-0.01
8,8,2025-09-29 01:30:00,0.03,0.0
9,9,2025-09-29 02:30:00,0.03,-0.01
10,10,2025-09-29 03:30:00,0.05,-0.01
11,11,2025-09-29 04:30:00,0.06,-0.02
12,12,2025-09-29 05:30:00,0.07,-0.03
13,13,2025-09-29 06:30:00,0.09,-0.04
14,14,2025-09-29 07:30:00,0.09,-0.07
15,15,2025-09-29 08:30:00,0.11,-0.08
16,16,2025-09-29 09:30:00,0.1,-0.11
17,17,2025-09-29 10:30:00,0.09,-0.12
18,18,2025-09-29 11:30:00,0.08,-0.14
19,19,2025-09-29 12:30:00,0.07,-0.14
20,20,2025-09-29 13:30:00,0.05,-0.15
21,21,2025-09-29 14:30:00,0.04,-0.15
22,22,2025-09-29 15:30:00,0.03,-0.14
23,23,2025-09-29 16:30:00,0.01,-0.13
24,24,2025-09-29 17:30:00,-0.0,-0.11
25,25,2025-09-29 18:30:00,-0.02,-0.09
26,26,2025-09-29 19:30:00,-0.03,-0.07
27,27,2025-09-29 20:30:00,-0.03,-0.05
28,28,2025-09-29 21:30:00,-0.02,-0.02
29,29,2025-09-29 22:30:00,-0.01,0.0
30,30,2025-09-29 23:30:00,-0.0,0.01
31,31,2025-09-30 00:30:00,0.01,0.02
32,32,2025-09-30 01:30:00,0.02,0.01
33,33,2025-09-30 02:30:00,0.03,0.0
34,34,2025-09-30 03:30:00,0.04,-0.02
35,35,2025-09-30 04:30:00,0.05,-0.04
36,36,2025-09-30 05:30:00,0.05,-0.06
37,37,2025-09-30 06:30:00,0.05,-0.08
38,38,2025-09-30 07:30:00,0.04,-0.09
39,39,2025-09-30 08:30:00,0.03,-0.1
40,40,2025-09-30 09:30:00,0.02,-0.1
41,41,2025-09-30 10:30:00,0.02,-0.09
42,42,2025-09-30 11:30:00,0.01,-0.08
43,43,2025-09-30 12:30:00,0.0,-0.08
44,44,2025-09-30 13:30:00,-0.01,-0.06
45,45,2025-09-30 14:30:00,-0.02,-0.05
46,46,2025-09-30 15:30:00,-0.03,-0.04
47,47,2025-09-30 16:30:00,-0.04,-0.02
48,48,2025-09-30 17:30:00,-0.04,-0.0
49,49,2025-09-30 18:30:00,-0.04,0.02
50,50,2025-09-30 19:30:00,-0.04,0.03
51,51,2025-09-30 20:30:00,-0.04,0.04
52,52,2025-09-30 21:30:00,-0.04,0.05
53,53,2025-09-30 22:30:00,-0.04,0.06
54,54,2025-09-30 23:30:00,-0.03,0.06
55,55,2025-10-01 00:30:00,-0.03,0.06
56,56,2025-10-01 01:30:00,-0.03,0.05
57,57,2025-10-01 02:30:00,-0.02,0.04
58,58,2025-10-01 03:30:00,-0.01,0.03
59,59,2025-10-01 04:30:00,-0.0,0.01
60,60,2025-10-01 05:30:00,0.0,-0.01
61,61,2025-10-01 06:30:00,0.01,-0.03
62,62,2025-10-01 07:30:00,0.01,-0.06
63,63,2025-10-01 08:30:00,0.0,-0.07
64,64,2025-10-01 09:30:00,-0.01,-0.09
65,65,2025-10-01 10:30:00,-0.01,-0.09
66,66,2025-10-01 11:30:00,-0.02,-0.1
67,67,2025-10-01 12:30:00,-0.02,-0.09
68,68,2025-10-01 13:30:00,-0.02,-0.09
69,69,2025-10-01 14:30:00,-0.02,-0.09
70,70,2025-10-01 15:30:00,-0.02,-0.08
71,71,2025-10-01 16:30:00,-0.03,-0.08
72,72,2025-10-01 17:30:00,-0.04,-0.07
73,73,2025-10-01 18:30:00,-0.05,-0.06
74,74,2025-10-01 19:30:00,-0.05,-0.04
75,75,2025-10-01 20:30:00,-0.06,-0.03
76,76,2025-10-01 21:30:00,-0.07,-0.01
77,77,2025-10-01 22:30:00,-0.06,0.0
78,78,2025-10-01 23:30:00,-0.06,0.01
79,79,2025-10-02 00:30:00,-0.05,0.02
80,80,2025-10-02 01:30:00,-0.05,0.02
81,81,2025-10-02 02:30:00,-0.04,0.02
82,82,2025-10-02 03:30:00,-0.04,0.01
83,83,2025-10-02 04:30:00,-0.03,0.0
84,84,2025-10-02 05:30:00,-0.02,-0.01
85,85,2025-10-02 06:30:00,-0.02,-0.03
86,86,2025-10-02 07:30:00,-0.01,-0.04
87,87,2025-10-02 08:30:00,-0.01,-0.06
88,88,2025-10-02 09:30:00,-0.01,-0.08
89,89,2025-10-02 10:30:00,-0.01,-0.1
90,90,2025-10-02 11:30:00,-0.02,-0.11
91,91,2025-10-02 12:30:00,-0.03,-0.11
92,92,2025-10-02 13:30:00,-0.04,-0.12
93,93,2025-10-02 14:30:00,-0.05,-0.12
94,94,2025-10-02 15:30:00,-0.07,-0.11
