N,itm,Date,t,s
1,1,2025-10-06 18:30:00,20.3,33.2
2,2,2025-10-06 19:30:00,20.3,33.2
3,3,2025-10-06 20:30:00,20.3,33.2
4,4,2025-10-06 21:30:00,20.3,33.2
5,5,2025-10-06 22:30:00,20.3,33.2
6,6,2025-10-06 23:30:00,20.3,33.2
7,7,2025-10-07 00:30:00,20.3,33.2
8,8,2025-10-07 01:30:00,20.3,33.2
9,9,2025-10-07 02:30:00,20.3,33.2
10,10,2025-10-07 03:30:00,20.4,33.3
11,11,2025-10-07 04:30:00,20.4,33.3
12,12,2025-10-07 05:30:00,20.4,33.3
13,13,2025-10-07 06:30:00,20.5,33.3
14,14,2025-10-07 07:30:00,20.5,33.3
15,15,2025-10-07 08:30:00,20.5,33.3
16,16,2025-10-07 09:30:00,20.5,33.3
17,17,2025-10-07 10:30:00,20.4,33.3
18,18,2025-10-07 11:30:00,20.4,33.3
19,19,2025-10-07 12:30:00,20.3,33.3
20,20,2025-10-07 13:30:00,20.3,33.3
21,21,2025-10-07 14:30:00,20.3,33.3
22,22,2025-10-07 15:30:00,20.3,33.3
23,23,2025-10-07 16:30:00,20.3,33.3
24,24,2025-10-07 17:30:00,20.3,33.3
25,25,2025-10-07 18:30:00,20.3,33.3
26,26,2025-10-07 19:30:00,20.3,33.3
27,27,2025-10-07 20:30:00,20.3,33.3
28,28,2025-10-07 21:30:00,20.2,33.3
29,29,2025-10-07 22:30:00,20.2,33.3
30,30,2025-10-07 23:30:00,20.2,33.3
31,31,2025-10-08 00:30:00,20.2,33.3
32,32,2025-10-08 01:30:00,20.2,33.3
33,33,2025-10-08 02:30:00,20.2,33.3
34,34,2025-10-08 03:30:00,20.2,33.3
35,35,2025-10-08 04:30:00,20.2,33.3
36,36,2025-10-08 05:30:00,20.2,33.3
37,37,2025-10-08 06:30:00,20.2,33.3
38,38,2025-10-08 07:30:00,20.2,33.3
39,39,2025-10-08 08:30:00,20.2,33.3
40,40,2025-10-08 09:30:00,20.2,33.4
41,41,2025-10-08 10:30:00,20.2,33.4
42,42,2025-10-08 11:30:00,20.2,33.4
43,43,2025-10-08 12:30:00,20.2,33.4
44,44,2025-10-08 13:30:00,20.2,33.4
45,45,2025-10-08 14:30:00,20.1,33.4
46,46,2025-10-08 15:30:00,20.1,33.4
47,47,2025-10-08 16:30:00,20.1,33.4
48,48,2025-10-08 17:30:00,20.1,33.4
49,49,2025-10-08 18:30:00,20.1,33.4
50,50,2025-10-08 19:30:00,20.1,33.4
51,51,2025-10-08 20:30:00,20.1,33.4
52,52,2025-10-08 21:30:00,20.1,33.4
53,53,2025-10-08 22:30:00,20.1,33.4
54,54,2025-10-08 23:30:00,20.1,33.4
55,55,2025-10-09 00:30:00,20.0,33.4
56,56,2025-10-09 01:30:00,20.0,33.4
57,57,2025-10-09 02:30:00,20.0,33.4
58,58,2025-10-09 03:30:00,20.0,33.4
59,59,2025-10-09 04:30:00,20.0,33.4
60,60,2025-10-09 05:30:00,20.0,33.4
61,61,2025-10-09 06:30:00,20.0,33.4
62,62,2025-10-09 07:30:00,20.0,33.4
63,63,2025-10-09 08:30:00,20.0,33.4
64,64,2025-10-09 09:30:00,20.0,33.4
65,65,2025-10-09 10:30:00,20.0,33.4
66,66,2025-10-09 11:30:00,20.0,33.4
67,67,2025-10-09 12:30:00,20.0,33.4
68,68,2025-10-09 13:30:00,20.0,33.4
69,69,2025-10-09 14:30:00,19.9,33.4
70,70,2025-10-09 15:30:00,19.9,33.4
71,71,2025-10-09 16:30:00,19.9,33.4
72,72,2025-10-09 17:30:00,19.9,33.4
73,73,2025-10-09 18:30:00,19.9,33.4
74,74,2025-10-09 19:30:00,19.9,33.4
75,75,2025-10-09 20:30:00,19.9,33.4
76,76,2025-10-09 21:30:00,19.9,33.4
77,77,2025-10-09 22:30:00,19.9,33.4
78,78,2025-10-09 23:30:00,19.8,33.4
79,79,2025-10-10 00:30:00,19.8,33.4
80,80,2025-10-10 01:30:00,19.8,33.4
81,81,2025-10-10 02:30:00,19.8,33.4
82,82,2025-10-10 03:30:00,19.8,33.4
83,83,2025-10-10 04:30:00,19.8,33.4
84,84,2025-10-10 05:30:00,19.8,33.4
85,85,2025-10-10 06:30:00,19.8,33.4
86,86,2025-10-10 07:30:00,19.8,33.4
87,87,2025-10-10 08:30:00,19.8,33.4
88,88,2025-10-10 09:30:00,19.8,33.4
89,89,2025-10-10 10:30:00,19.8,33.4
90,90,2025-10-10 11:30:00,19.8,33.4
91,91,2025-10-10 12:30:00,19.8,33.4
92,92,2025-10-10 13:30:00,19.8,33.4
93,93,2025-10-10 14:30:00,19.8,33.4
94,94,2025-10-10 15:30:00,19.8,33.5
95,95,2025-10-10 16:30:00,19.8,33.5
96,96,2025-10-10 17:30:00,19.8,33.5
97,97,2025-10-10 18:30:00,19.8,33.5
98,98,2025-10-10 19:30:00,19.8,33.5
