N,itm,Date,u,v
1,1,2025-10-24 18:30:00,0.01,0.05
2,2,2025-10-24 19:30:00,0.01,0.05
3,3,2025-10-24 20:30:00,0.01,0.05
4,4,2025-10-24 21:30:00,0.0,0.06
5,5,2025-10-24 22:30:00,0.01,0.07
6,6,2025-10-24 23:30:00,0.01,0.08
7,7,2025-10-25 00:30:00,0.02,0.1
8,8,2025-10-25 01:30:00,0.05,0.11
9,9,2025-10-25 02:30:00,0.06,0.1
10,10,2025-10-25 03:30:00,0.08,0.09
11,11,2025-10-25 04:30:00,0.08,0.07
12,12,2025-10-25 05:30:00,0.09,0.05
13,13,2025-10-25 06:30:00,0.09,0.04
14,14,2025-10-25 07:30:00,0.07,0.03
15,15,2025-10-25 08:30:00,0.06,0.04
16,16,2025-10-25 09:30:00,0.04,0.04
17,17,2025-10-25 10:30:00,0.03,0.05
18,18,2025-10-25 11:30:00,0.02,0.06
19,19,2025-10-25 12:30:00,0.01,0.07
20,20,2025-10-25 13:30:00,0.0,0.08
21,21,2025-10-25 14:30:00,-0.0,0.08
22,22,2025-10-25 15:30:00,-0.01,0.09
23,23,2025-10-25 16:30:00,-0.02,0.1
24,24,2025-10-25 17:30:00,-0.03,0.12
25,25,2025-10-25 18:30:00,-0.03,0.13
26,26,2025-10-25 19:30:00,-0.03,0.14
27,27,2025-10-25 20:30:00,-0.02,0.13
28,28,2025-10-25 21:30:00,-0.02,0.12
29,29,2025-10-25 22:30:00,-0.02,0.12
30,30,2025-10-25 23:30:00,-0.03,0.11
31,31,2025-10-26 00:30:00,-0.03,0.1
32,32,2025-10-26 01:30:00,-0.03,0.09
33,33,2025-10-26 02:30:00,-0.04,0.08
34,34,2025-10-26 03:30:00,-0.04,0.08
35,35,2025-10-26 04:30:00,-0.05,0.08
36,36,2025-10-26 05:30:00,-0.07,0.08
37,37,2025-10-26 06:30:00,-0.08,0.09
38,38,2025-10-26 07:30:00,-0.09,0.11
39,39,2025-10-26 08:30:00,-0.1,0.14
40,40,2025-10-26 09:30:00,-0.09,0.16
41,41,2025-10-26 10:30:00,-0.08,0.17
42,42,2025-10-26 11:30:00,-0.06,0.15
43,43,2025-10-26 12:30:00,-0.06,0.14
44,44,2025-10-26 13:30:00,-0.06,0.14
45,45,2025-10-26 14:30:00,-0.06,0.14
46,46,2025-10-26 15:30:00,-0.06,0.14
47,47,2025-10-26 16:30:00,-0.06,0.14
48,48,2025-10-26 17:30:00,-0.07,0.14
49,49,2025-10-26 18:30:00,-0.08,0.13
50,50,2025-10-26 19:30:00,-0.09,0.13
51,51,2025-10-26 20:30:00,-0.09,0.12
52,52,2025-10-26 21:30:00,-0.08,0.1
53,53,2025-10-26 22:30:00,-0.07,0.08
54,54,2025-10-26 23:30:00,-0.07,0.06
55,55,2025-10-27 00:30:00,-0.08,0.05
56,56,2025-10-27 01:30:00,-0.09,0.04
57,57,2025-10-27 02:30:00,-0.09,0.05
