N,itm,Date,u,v
1,1,2025-09-23 18:30:00,0.01,-0.12
2,2,2025-09-23 19:30:00,-0.01,-0.13
3,3,2025-09-23 20:30:00,-0.01,-0.13
4,4,2025-09-23 21:30:00,-0.02,-0.12
5,5,2025-09-23 22:30:00,-0.02,-0.11
6,6,2025-09-23 23:30:00,-0.03,-0.1
7,7,2025-09-24 00:30:00,-0.02,-0.1
8,8,2025-09-24 01:30:00,-0.02,-0.08
9,9,2025-09-24 02:30:00,-0.02,-0.08
10,10,2025-09-24 03:30:00,-0.02,-0.06
11,11,2025-09-24 04:30:00,-0.01,-0.04
12,12,2025-09-24 05:30:00,-0.01,-0.03
13,13,2025-09-24 06:30:00,-0.0,-0.03
14,14,2025-09-24 07:30:00,0.01,-0.02
15,15,2025-09-24 08:30:00,0.01,-0.01
16,16,2025-09-24 09:30:00,0.01,-0.02
17,17,2025-09-24 10:30:00,0.02,-0.01
18,18,2025-09-24 11:30:00,0.02,-0.02
19,19,2025-09-24 12:30:00,0.02,-0.03
20,20,2025-09-24 13:30:00,0.02,-0.04
21,21,2025-09-24 14:30:00,0.01,-0.06
22,22,2025-09-24 15:30:00,0.0,-0.07
23,23,2025-09-24 16:30:00,-0.01,-0.08
24,24,2025-09-24 17:30:00,-0.02,-0.08
25,25,2025-09-24 18:30:00,-0.03,-0.08
26,26,2025-09-24 19:30:00,-0.04,-0.08
27,27,2025-09-24 20:30:00,-0.04,-0.07
28,28,2025-09-24 21:30:00,-0.05,-0.07
29,29,2025-09-24 22:30:00,-0.05,-0.07
30,30,2025-09-24 23:30:00,-0.05,-0.06
31,31,2025-09-25 00:30:00,-0.05,-0.04
32,32,2025-09-25 01:30:00,-0.05,-0.04
33,33,2025-09-25 02:30:00,-0.05,-0.02
34,34,2025-09-25 03:30:00,-0.06,-0.01
35,35,2025-09-25 04:30:00,-0.07,-0.01
36,36,2025-09-25 05:30:00,-0.08,0.0
37,37,2025-09-25 06:30:00,-0.09,0.01
38,38,2025-09-25 07:30:00,-0.09,0.03
39,39,2025-09-25 08:30:00,-0.09,0.03
40,40,2025-09-25 09:30:00,-0.09,0.04
41,41,2025-09-25 10:30:00,-0.09,0.06
42,42,2025-09-25 11:30:00,-0.09,0.07
43,43,2025-09-25 12:30:00,-0.07,0.09
44,44,2025-09-25 13:30:00,-0.05,0.11
45,45,2025-09-25 14:30:00,-0.02,0.11
46,46,2025-09-25 15:30:00,0.01,0.11
47,47,2025-09-25 16:30:00,0.03,0.09
48,48,2025-09-25 17:30:00,0.05,0.06
49,49,2025-09-25 18:30:00,0.06,0.03
50,50,2025-09-25 19:30:00,0.06,0.0
51,51,2025-09-25 20:30:00,0.04,-0.02
52,52,2025-09-25 21:30:00,0.01,-0.04
53,53,2025-09-25 22:30:00,-0.02,-0.05
54,54,2025-09-25 23:30:00,-0.04,-0.04
55,55,2025-09-26 00:30:00,-0.07,-0.03
56,56,2025-09-26 01:30:00,-0.08,-0.01
57,57,2025-09-26 02:30:00,-0.08,0.01
58,58,2025-09-26 03:30:00,-0.08,0.04
59,59,2025-09-26 04:30:00,-0.06,0.06
60,60,2025-09-26 05:30:00,-0.04,0.07
61,61,2025-09-26 06:30:00,-0.02,0.08
62,62,2025-09-26 07:30:00,-0.0,0.08
63,63,2025-09-26 08:30:00,0.02,0.08
64,64,2025-09-26 09:30:00,0.03,0.07
65,65,2025-09-26 10:30:00,0.03,0.05
66,66,2025-09-26 11:30:00,0.04,0.04
67,67,2025-09-26 12:30:00,0.03,0.03
68,68,2025-09-26 13:30:00,0.02,0.02
69,69,2025-09-26 14:30:00,0.0,0.01
70,70,2025-09-26 15:30:00,-0.01,0.01
71,71,2025-09-26 16:30:00,-0.02,0.01
72,72,2025-09-26 17:30:00,-0.03,0.02
73,73,2025-09-26 18:30:00,-0.03,0.02
74,74,2025-09-26 19:30:00,-0.03,0.02
75,75,2025-09-26 20:30:00,-0.02,0.02
76,76,2025-09-26 21:30:00,-0.02,0.02
77,77,2025-09-26 22:30:00,-0.01,0.01
78,78,2025-09-26 23:30:00,-0.01,0.0
79,79,2025-09-27 00:30:00,-0.01,-0.01
80,80,2025-09-27 01:30:00,-0.0,-0.02
81,81,2025-09-27 02:30:00,-0.01,-0.02
82,82,2025-09-27 03:30:00,-0.01,-0.02
83,83,2025-09-27 04:30:00,-0.01,-0.02
84,84,2025-09-27 05:30:00,-0.02,-0.01
85,85,2025-09-27 06:30:00,-0.02,0.0
86,86,2025-09-27 07:30:00,-0.01,0.02
87,87,2025-09-27 08:30:00,-0.01,0.03
88,88,2025-09-27 09:30:00,-0.0,0.04
89,89,2025-09-27 10:30:00,0.01,0.04
90,90,2025-09-27 11:30:00,0.01,0.05
91,91,2025-09-27 12:30:00,0.01,0.04
92,92,2025-09-27 13:30:00,0.01,0.04
93,93,2025-09-27 14:30:00,0.0,0.04
94,94,2025-09-27 15:30:00,0.0,0.04
95,95,2025-09-27 16:30:00,-0.0,0.04
96,96,2025-09-27 17:30:00,-0.0,0.04
97,97,2025-09-27 18:30:00,-0.0,0.04
98,98,2025-09-27 19:30:00,-0.0,0.04
99,99,2025-09-27 20:30:00,0.0,0.03
100,100,2025-09-27 21:30:00,0.01,0.02
101,101,2025-09-27 22:30:00,0.01,0.01
102,102,2025-09-27 23:30:00,0.01,0.0
103,103,2025-09-28 00:30:00,0.01,-0.0
104,104,2025-09-28 01:30:00,0.01,-0.01
105,105,2025-09-28 02:30:00,0.01,-0.01
106,106,2025-09-28 03:30:00,0.02,-0.01
107,107,2025-09-28 04:30:00,0.02,-0.02
108,108,2025-09-28 05:30:00,0.02,-0.02
109,109,2025-09-28 06:30:00,0.03,-0.03
110,110,2025-09-28 07:30:00,0.03,-0.03
111,111,2025-09-28 08:30:00,0.03,-0.04
112,112,2025-09-28 09:30:00,0.03,-0.04
113,113,2025-09-28 10:30:00,0.02,-0.04
114,114,2025-09-28 11:30:00,0.02,-0.04
115,115,2025-09-28 12:30:00,0.01,-0.05
116,116,2025-09-28 13:30:00,0.01,-0.04
117,117,2025-09-28 14:30:00,0.01,-0.04
118,118,2025-09-28 15:30:00,0.01,-0.04
119,119,2025-09-28 16:30:00,0.0,-0.03
120,120,2025-09-28 17:30:00,0.0,-0.02
121,121,2025-09-28 18:30:00,0.0,-0.01
122,122,2025-09-28 19:30:00,0.01,-0.0
123,123,2025-09-28 20:30:00,0.01,0.0
124,124,2025-09-28 21:30:00,0.01,0.01
125,125,2025-09-28 22:30:00,0.01,0.0
126,126,2025-09-28 23:30:00,0.01,0.0
127,127,2025-09-29 00:30:00,0.01,-0.01
128,128,2025-09-29 01:30:00,0.01,-0.02
129,129,2025-09-29 02:30:00,0.01,-0.03
130,130,2025-09-29 03:30:00,0.01,-0.04
131,131,2025-09-29 04:30:00,0.01,-0.06
132,132,2025-09-29 05:30:00,0.02,-0.07
133,133,2025-09-29 06:30:00,0.02,-0.09
134,134,2025-09-29 07:30:00,0.02,-0.1
135,135,2025-09-29 08:30:00,0.02,-0.11
136,136,2025-09-29 09:30:00,0.01,-0.12
137,137,2025-09-29 10:30:00,0.01,-0.13
138,138,2025-09-29 11:30:00,0.01,-0.13
139,139,2025-09-29 12:30:00,0.0,-0.13
140,140,2025-09-29 13:30:00,-0.01,-0.12
141,141,2025-09-29 14:30:00,-0.01,-0.11
142,142,2025-09-29 15:30:00,-0.02,-0.09
143,143,2025-09-29 16:30:00,-0.03,-0.07
144,144,2025-09-29 17:30:00,-0.03,-0.05
145,145,2025-09-29 18:30:00,-0.03,-0.03
146,146,2025-09-29 19:30:00,-0.03,-0.02
147,147,2025-09-29 20:30:00,-0.03,-0.0
148,148,2025-09-29 21:30:00,-0.03,0.0
149,149,2025-09-29 22:30:00,-0.02,0.01
150,150,2025-09-29 23:30:00,-0.02,0.01
151,151,2025-09-30 00:30:00,-0.01,-0.0
152,152,2025-09-30 01:30:00,-0.01,-0.02
153,153,2025-09-30 02:30:00,-0.0,-0.03
154,154,2025-09-30 03:30:00,-0.0,-0.05
155,155,2025-09-30 04:30:00,-0.0,-0.06
156,156,2025-09-30 05:30:00,-0.0,-0.07
157,157,2025-09-30 06:30:00,-0.01,-0.08
158,158,2025-09-30 07:30:00,-0.01,-0.09
159,159,2025-09-30 08:30:00,-0.01,-0.09
160,160,2025-09-30 09:30:00,-0.01,-0.09
161,161,2025-09-30 10:30:00,-0.01,-0.1
162,162,2025-09-30 11:30:00,-0.01,-0.09
163,163,2025-09-30 12:30:00,-0.02,-0.09
164,164,2025-09-30 13:30:00,-0.02,-0.08
165,165,2025-09-30 14:30:00,-0.02,-0.07
166,166,2025-09-30 15:30:00,-0.02,-0.06
167,167,2025-09-30 16:30:00,-0.02,-0.05
168,168,2025-09-30 17:30:00,-0.02,-0.03
169,169,2025-09-30 18:30:00,-0.02,-0.02
170,170,2025-09-30 19:30:00,-0.02,-0.01
171,171,2025-09-30 20:30:00,-0.01,-0.0
172,172,2025-09-30 21:30:00,-0.01,0.0
173,173,2025-09-30 22:30:00,-0.01,0.01
174,174,2025-09-30 23:30:00,-0.0,0.01
175,175,2025-10-01 00:30:00,-0.0,0.01
176,176,2025-10-01 01:30:00,-0.0,0.01
177,177,2025-10-01 02:30:00,-0.0,0.0
178,178,2025-10-01 03:30:00,-0.0,-0.01
179,179,2025-10-01 04:30:00,0.0,-0.01
180,180,2025-10-01 05:30:00,0.0,-0.02
181,181,2025-10-01 06:30:00,0.0,-0.03
182,182,2025-10-01 07:30:00,0.0,-0.05
183,183,2025-10-01 08:30:00,0.0,-0.06
184,184,2025-10-01 09:30:00,0.0,-0.07
185,185,2025-10-01 10:30:00,-0.0,-0.08
186,186,2025-10-01 11:30:00,-0.0,-0.09
187,187,2025-10-01 12:30:00,-0.01,-0.09
188,188,2025-10-01 13:30:00,-0.01,-0.09
189,189,2025-10-01 14:30:00,-0.01,-0.09
190,190,2025-10-01 15:30:00,-0.02,-0.08
191,191,2025-10-01 16:30:00,-0.02,-0.07
192,192,2025-10-01 17:30:00,-0.03,-0.05
193,193,2025-10-01 18:30:00,-0.03,-0.04
194,194,2025-10-01 19:30:00,-0.03,-0.02
195,195,2025-10-01 20:30:00,-0.02,-0.0
196,196,2025-10-01 21:30:00,-0.02,0.01
197,197,2025-10-01 22:30:00,-0.01,0.03
198,198,2025-10-01 23:30:00,-0.01,0.03
