N,itm,Date,t,s
1,1,2024-09-01 08:30:00,23.7,32.8
2,2,2024-09-01 09:30:00,23.7,32.8
3,3,2024-09-01 10:30:00,23.7,32.8
4,4,2024-09-01 11:30:00,23.7,32.7
5,5,2024-09-01 12:30:00,23.7,32.7
6,6,2024-09-01 13:30:00,23.7,32.7
7,7,2024-09-01 14:30:00,23.7,32.7
8,8,2024-09-01 15:30:00,23.7,32.7
9,9,2024-09-01 16:30:00,23.7,32.7
10,10,2024-09-01 17:30:00,23.7,32.7
11,11,2024-09-01 18:30:00,23.7,32.7
12,12,2024-09-01 19:30:00,23.7,32.7
13,13,2024-09-01 20:30:00,23.7,32.8
14,14,2024-09-01 21:30:00,23.6,32.8
15,15,2024-09-01 22:30:00,23.5,32.9
16,16,2024-09-01 23:30:00,23.5,32.9
17,17,2024-09-02 00:30:00,23.5,32.9
18,18,2024-09-02 01:30:00,23.5,32.9
19,19,2024-09-02 02:30:00,23.4,33.0
20,20,2024-09-02 03:30:00,23.4,33.0
21,21,2024-09-02 04:30:00,23.4,33.0
22,22,2024-09-02 05:30:00,23.5,33.0
23,23,2024-09-02 06:30:00,23.5,33.0
24,24,2024-09-02 07:30:00,23.5,33.0
25,25,2024-09-02 08:30:00,23.5,32.9
26,26,2024-09-02 09:30:00,23.5,32.9
27,27,2024-09-02 10:30:00,23.5,32.9
28,28,2024-09-02 11:30:00,23.5,32.9
29,29,2024-09-02 12:30:00,23.5,32.9
30,30,2024-09-02 13:30:00,23.5,32.9
31,31,2024-09-02 14:30:00,23.5,32.9
32,32,2024-09-02 15:30:00,23.6,32.9
33,33,2024-09-02 16:30:00,23.6,32.9
34,34,2024-09-02 17:30:00,23.6,32.9
35,35,2024-09-02 18:30:00,23.5,32.9
36,36,2024-09-02 19:30:00,23.6,32.9
37,37,2024-09-02 20:30:00,23.5,32.9
38,38,2024-09-02 21:30:00,23.5,33.0
39,39,2024-09-02 22:30:00,23.5,33.1
40,40,2024-09-02 23:30:00,23.4,33.1
41,41,2024-09-03 00:30:00,23.4,33.2
42,42,2024-09-03 01:30:00,23.3,33.2
43,43,2024-09-03 02:30:00,23.3,33.2
44,44,2024-09-03 03:30:00,23.2,33.3
45,45,2024-09-03 04:30:00,23.2,33.3
46,46,2024-09-03 05:30:00,23.1,33.3
47,47,2024-09-03 06:30:00,23.1,33.4
48,48,2024-09-03 07:30:00,23.2,33.3
49,49,2024-09-03 08:30:00,23.2,33.3
50,50,2024-09-03 09:30:00,23.3,33.3
51,51,2024-09-03 10:30:00,23.3,33.3
52,52,2024-09-03 11:30:00,23.3,33.3
53,53,2024-09-03 12:30:00,23.4,33.3
54,54,2024-09-03 13:30:00,23.3,33.3
55,55,2024-09-03 14:30:00,23.3,33.3
56,56,2024-09-03 15:30:00,23.4,33.3
57,57,2024-09-03 16:30:00,23.5,33.2
58,58,2024-09-03 17:30:00,23.5,33.2
59,59,2024-09-03 18:30:00,23.5,33.2
60,60,2024-09-03 19:30:00,23.5,33.2
61,61,2024-09-03 20:30:00,23.5,33.2
62,62,2024-09-03 21:30:00,23.5,33.3
63,63,2024-09-03 22:30:00,23.5,33.3
64,64,2024-09-03 23:30:00,23.5,33.3
65,65,2024-09-04 00:30:00,23.5,33.3
66,66,2024-09-04 01:30:00,23.5,33.4
67,67,2024-09-04 02:30:00,23.5,33.4
68,68,2024-09-04 03:30:00,23.5,33.4
69,69,2024-09-04 04:30:00,23.5,33.4
70,70,2024-09-04 05:30:00,23.5,33.4
71,71,2024-09-04 06:30:00,23.5,33.4
72,72,2024-09-04 07:30:00,23.5,33.4
73,73,2024-09-04 08:30:00,23.5,33.4
74,74,2024-09-04 09:30:00,23.5,33.4
75,75,2024-09-04 10:30:00,23.4,33.5
76,76,2024-09-04 11:30:00,23.4,33.5
77,77,2024-09-04 12:30:00,23.4,33.5
78,78,2024-09-04 13:30:00,23.4,33.5
79,79,2024-09-04 14:30:00,23.3,33.6
80,80,2024-09-04 15:30:00,23.2,33.6
81,81,2024-09-04 16:30:00,23.1,33.6
82,82,2024-09-04 17:30:00,23.1,33.7
83,83,2024-09-04 18:30:00,23.1,33.7
84,84,2024-09-04 19:30:00,23.2,33.7
85,85,2024-09-04 20:30:00,23.3,33.7
86,86,2024-09-04 21:30:00,23.4,33.6
87,87,2024-09-04 22:30:00,23.5,33.6
88,88,2024-09-04 23:30:00,23.5,33.5
89,89,2024-09-05 00:30:00,23.6,33.4
90,90,2024-09-05 01:30:00,23.6,33.3
91,91,2024-09-05 02:30:00,23.6,33.3
92,92,2024-09-05 03:30:00,23.6,33.3
93,93,2024-09-05 04:30:00,23.6,33.2
94,94,2024-09-05 05:30:00,23.6,33.2
95,95,2024-09-05 06:30:00,23.5,33.2
96,96,2024-09-05 07:30:00,23.5,33.2
97,97,2024-09-05 08:30:00,23.5,33.2
98,98,2024-09-05 09:30:00,23.5,33.3
99,99,2024-09-05 10:30:00,23.5,33.3
100,100,2024-09-05 11:30:00,23.5,33.3
101,101,2024-09-05 12:30:00,23.5,33.4
102,102,2024-09-05 13:30:00,23.5,33.4
103,103,2024-09-05 14:30:00,23.5,33.3
104,104,2024-09-05 15:30:00,23.5,33.3
105,105,2024-09-05 16:30:00,23.5,33.2
106,106,2024-09-05 17:30:00,23.5,33.1
107,107,2024-09-05 18:30:00,23.4,33.1
108,108,2024-09-05 19:30:00,23.4,33.0
109,109,2024-09-05 20:30:00,23.3,32.9
110,110,2024-09-05 21:30:00,23.3,32.9
