N,itm,Date,t,s
1,1,2025-10-08 18:30:00,20.03,33.4
2,2,2025-10-08 19:30:00,20.03,33.4
3,3,2025-10-08 20:30:00,20.02,33.4
4,4,2025-10-08 21:30:00,20.01,33.4
5,5,2025-10-08 22:30:00,20.01,33.4
6,6,2025-10-08 23:30:00,20.01,33.4
7,7,2025-10-09 00:30:00,20.01,33.4
8,8,2025-10-09 01:30:00,20.01,33.4
9,9,2025-10-09 02:30:00,20.02,33.4
10,10,2025-10-09 03:30:00,20.02,33.4
11,11,2025-10-09 04:30:00,20.02,33.4
12,12,2025-10-09 05:30:00,20.02,33.4
13,13,2025-10-09 06:30:00,20.02,33.4
14,14,2025-10-09 07:30:00,20.01,33.4
15,15,2025-10-09 08:30:00,20.0,33.4
16,16,2025-10-09 09:30:00,19.99,33.4
17,17,2025-10-09 10:30:00,19.98,33.4
18,18,2025-10-09 11:30:00,19.97,33.4
19,19,2025-10-09 12:30:00,19.96,33.4
20,20,2025-10-09 13:30:00,19.95,33.4
21,21,2025-10-09 14:30:00,19.94,33.4
22,22,2025-10-09 15:30:00,19.93,33.4
23,23,2025-10-09 16:30:00,19.91,33.4
24,24,2025-10-09 17:30:00,19.9,33.4
25,25,2025-10-09 18:30:00,19.88,33.4
26,26,2025-10-09 19:30:00,19.87,33.4
27,27,2025-10-09 20:30:00,19.85,33.4
28,28,2025-10-09 21:30:00,19.83,33.4
29,29,2025-10-09 22:30:00,19.81,33.4
30,30,2025-10-09 23:30:00,19.79,33.4
31,31,2025-10-10 00:30:00,19.78,33.4
32,32,2025-10-10 01:30:00,19.76,33.4
33,33,2025-10-10 02:30:00,19.75,33.4
34,34,2025-10-10 03:30:00,19.73,33.4
35,35,2025-10-10 04:30:00,19.72,33.4
36,36,2025-10-10 05:30:00,19.7,33.4
37,37,2025-10-10 06:30:00,19.69,33.4
38,38,2025-10-10 07:30:00,19.66,33.4
39,39,2025-10-10 08:30:00,19.64,33.4
40,40,2025-10-10 09:30:00,19.62,33.4
41,41,2025-10-10 10:30:00,19.59,33.4
42,42,2025-10-10 11:30:00,19.56,33.4
43,43,2025-10-10 12:30:00,19.54,33.4
44,44,2025-10-10 13:30:00,19.51,33.3
45,45,2025-10-10 14:30:00,19.48,33.3
46,46,2025-10-10 15:30:00,19.46,33.3
47,47,2025-10-10 16:30:00,19.43,33.3
48,48,2025-10-10 17:30:00,19.41,33.3
49,49,2025-10-10 18:30:00,19.38,33.3
50,50,2025-10-10 19:30:00,19.36,33.3
51,51,2025-10-10 20:30:00,19.34,33.3
52,52,2025-10-10 21:30:00,19.32,33.3
53,53,2025-10-10 22:30:00,19.31,33.3
54,54,2025-10-10 23:30:00,19.3,33.3
55,55,2025-10-11 00:30:00,19.29,33.3
56,56,2025-10-11 01:30:00,19.29,33.3
57,57,2025-10-11 02:30:00,19.29,33.3
58,58,2025-10-11 03:30:00,19.3,33.3
59,59,2025-10-11 04:30:00,19.31,33.3
60,60,2025-10-11 05:30:00,19.31,33.3
61,61,2025-10-11 06:30:00,19.32,33.3
62,62,2025-10-11 07:30:00,19.33,33.3
63,63,2025-10-11 08:30:00,19.34,33.3
64,64,2025-10-11 09:30:00,19.34,33.3
65,65,2025-10-11 10:30:00,19.35,33.4
66,66,2025-10-11 11:30:00,19.35,33.4
67,67,2025-10-11 12:30:00,19.36,33.4
68,68,2025-10-11 13:30:00,19.36,33.4
69,69,2025-10-11 14:30:00,19.36,33.4
70,70,2025-10-11 15:30:00,19.36,33.4
71,71,2025-10-11 16:30:00,19.36,33.4
72,72,2025-10-11 17:30:00,19.37,33.4
73,73,2025-10-11 18:30:00,19.37,33.4
74,74,2025-10-11 19:30:00,19.37,33.4
75,75,2025-10-11 20:30:00,19.37,33.4
76,76,2025-10-11 21:30:00,19.37,33.4
77,77,2025-10-11 22:30:00,19.38,33.4
78,78,2025-10-11 23:30:00,19.38,33.4
79,79,2025-10-12 00:30:00,19.39,33.4
80,80,2025-10-12 01:30:00,19.39,33.4
81,81,2025-10-12 02:30:00,19.39,33.4
82,82,2025-10-12 03:30:00,19.41,33.4
83,83,2025-10-12 04:30:00,19.41,33.4
84,84,2025-10-12 05:30:00,19.42,33.4
85,85,2025-10-12 06:30:00,19.41,33.4
86,86,2025-10-12 07:30:00,19.41,33.4
87,87,2025-10-12 08:30:00,19.4,33.4
88,88,2025-10-12 09:30:00,19.38,33.4
89,89,2025-10-12 10:30:00,19.36,33.4
90,90,2025-10-12 11:30:00,19.34,33.4
91,91,2025-10-12 12:30:00,19.32,33.4
92,92,2025-10-12 13:30:00,19.29,33.4
93,93,2025-10-12 14:30:00,19.27,33.4
94,94,2025-10-12 15:30:00,19.24,33.4
95,95,2025-10-12 16:30:00,19.22,33.4
96,96,2025-10-12 17:30:00,19.19,33.4
97,97,2025-10-12 18:30:00,19.17,33.4
98,98,2025-10-12 19:30:00,19.15,33.4
99,99,2025-10-12 20:30:00,19.13,33.4
100,100,2025-10-12 21:30:00,19.11,33.4
101,101,2025-10-12 22:30:00,19.09,33.4
102,102,2025-10-12 23:30:00,19.08,33.4
103,103,2025-10-13 00:30:00,19.06,33.4
104,104,2025-10-13 01:30:00,19.05,33.4
105,105,2025-10-13 02:30:00,19.04,33.4
106,106,2025-10-13 03:30:00,19.04,33.4
107,107,2025-10-13 04:30:00,19.03,33.4
108,108,2025-10-13 05:30:00,19.02,33.4
109,109,2025-10-13 06:30:00,19.01,33.4
110,110,2025-10-13 07:30:00,19.0,33.4
111,111,2025-10-13 08:30:00,18.99,33.4
112,112,2025-10-13 09:30:00,18.98,33.4
113,113,2025-10-13 10:30:00,18.96,33.4
114,114,2025-10-13 11:30:00,18.95,33.4
115,115,2025-10-13 12:30:00,18.94,33.4
116,116,2025-10-13 13:30:00,18.92,33.4
117,117,2025-10-13 14:30:00,18.91,33.4
118,118,2025-10-13 15:30:00,18.89,33.4
119,119,2025-10-13 16:30:00,18.88,33.4
120,120,2025-10-13 17:30:00,18.87,33.4
121,121,2025-10-13 18:30:00,18.86,33.4
122,122,2025-10-13 19:30:00,18.84,33.4
123,123,2025-10-13 20:30:00,18.83,33.4
124,124,2025-10-13 21:30:00,18.82,33.4
125,125,2025-10-13 22:30:00,18.81,33.4
126,126,2025-10-13 23:30:00,18.81,33.4
127,127,2025-10-14 00:30:00,18.81,33.4
128,128,2025-10-14 01:30:00,18.8,33.4
129,129,2025-10-14 02:30:00,18.8,33.4
130,130,2025-10-14 03:30:00,18.8,33.4
131,131,2025-10-14 04:30:00,18.8,33.4
132,132,2025-10-14 05:30:00,18.8,33.4
133,133,2025-10-14 06:30:00,18.8,33.4
134,134,2025-10-14 07:30:00,18.79,33.4
135,135,2025-10-14 08:30:00,18.79,33.4
136,136,2025-10-14 09:30:00,18.79,33.4
137,137,2025-10-14 10:30:00,18.78,33.4
138,138,2025-10-14 11:30:00,18.78,33.4
139,139,2025-10-14 12:30:00,18.78,33.4
140,140,2025-10-14 13:30:00,18.78,33.4
141,141,2025-10-14 14:30:00,18.78,33.4
142,142,2025-10-14 15:30:00,18.78,33.5
143,143,2025-10-14 16:30:00,18.79,33.5
144,144,2025-10-14 17:30:00,18.79,33.5
145,145,2025-10-14 18:30:00,18.79,33.5
146,146,2025-10-14 19:30:00,18.79,33.5
147,147,2025-10-14 20:30:00,18.78,33.5
148,148,2025-10-14 21:30:00,18.78,33.5
149,149,2025-10-14 22:30:00,18.78,33.5
150,150,2025-10-14 23:30:00,18.77,33.5
151,151,2025-10-15 00:30:00,18.77,33.5
152,152,2025-10-15 01:30:00,18.77,33.5
153,153,2025-10-15 02:30:00,18.77,33.5
154,154,2025-10-15 03:30:00,18.77,33.5
155,155,2025-10-15 04:30:00,18.76,33.5
156,156,2025-10-15 05:30:00,18.75,33.5
157,157,2025-10-15 06:30:00,18.74,33.5
158,158,2025-10-15 07:30:00,18.74,33.5
159,159,2025-10-15 08:30:00,18.73,33.5
160,160,2025-10-15 09:30:00,18.73,33.5
161,161,2025-10-15 10:30:00,18.72,33.5
162,162,2025-10-15 11:30:00,18.72,33.5
163,163,2025-10-15 12:30:00,18.72,33.5
164,164,2025-10-15 13:30:00,18.72,33.5
165,165,2025-10-15 14:30:00,18.72,33.5
166,166,2025-10-15 15:30:00,18.72,33.5
167,167,2025-10-15 16:30:00,18.71,33.5
168,168,2025-10-15 17:30:00,18.71,33.5
169,169,2025-10-15 18:30:00,18.71,33.5
170,170,2025-10-15 19:30:00,18.7,33.5
171,171,2025-10-15 20:30:00,18.7,33.5
172,172,2025-10-15 21:30:00,18.69,33.5
173,173,2025-10-15 22:30:00,18.69,33.5
174,174,2025-10-15 23:30:00,18.69,33.5
175,175,2025-10-16 00:30:00,18.68,33.5
176,176,2025-10-16 01:30:00,18.68,33.5
177,177,2025-10-16 02:30:00,18.68,33.5
178,178,2025-10-16 03:30:00,18.67,33.5
179,179,2025-10-16 04:30:00,18.67,33.5
180,180,2025-10-16 05:30:00,18.66,33.5
181,181,2025-10-16 06:30:00,18.64,33.5
182,182,2025-10-16 07:30:00,18.63,33.5
183,183,2025-10-16 08:30:00,18.62,33.5
184,184,2025-10-16 09:30:00,18.6,33.5
185,185,2025-10-16 10:30:00,18.59,33.5
186,186,2025-10-16 11:30:00,18.58,33.5
187,187,2025-10-16 12:30:00,18.58,33.5
188,188,2025-10-16 13:30:00,18.57,33.5
189,189,2025-10-16 14:30:00,18.57,33.5
190,190,2025-10-16 15:30:00,18.56,33.5
191,191,2025-10-16 16:30:00,18.56,33.5
192,192,2025-10-16 17:30:00,18.55,33.5
193,193,2025-10-16 18:30:00,18.55,33.5
194,194,2025-10-16 19:30:00,18.55,33.5
195,195,2025-10-16 20:30:00,18.54,33.5
196,196,2025-10-16 21:30:00,18.54,33.5
197,197,2025-10-16 22:30:00,18.53,33.5
198,198,2025-10-16 23:30:00,18.53,33.5
