N,itm,Date,u,v
1,1,2025-10-23 18:30:00,0.03,0.1
2,2,2025-10-23 19:30:00,0.05,0.09
3,3,2025-10-23 20:30:00,0.06,0.08
4,4,2025-10-23 21:30:00,0.07,0.07
5,5,2025-10-23 22:30:00,0.07,0.06
6,6,2025-10-23 23:30:00,0.08,0.05
7,7,2025-10-24 00:30:00,0.08,0.05
8,8,2025-10-24 01:30:00,0.07,0.05
9,9,2025-10-24 02:30:00,0.07,0.05
10,10,2025-10-24 03:30:00,0.07,0.05
11,11,2025-10-24 04:30:00,0.06,0.05
12,12,2025-10-24 05:30:00,0.06,0.04
13,13,2025-10-24 06:30:00,0.06,0.04
14,14,2025-10-24 07:30:00,0.05,0.04
15,15,2025-10-24 08:30:00,0.04,0.03
16,16,2025-10-24 09:30:00,0.04,0.03
17,17,2025-10-24 10:30:00,0.03,0.04
18,18,2025-10-24 11:30:00,0.03,0.04
19,19,2025-10-24 12:30:00,0.03,0.05
20,20,2025-10-24 13:30:00,0.03,0.06
21,21,2025-10-24 14:30:00,0.04,0.06
22,22,2025-10-24 15:30:00,0.05,0.07
23,23,2025-10-24 16:30:00,0.05,0.08
24,24,2025-10-24 17:30:00,0.06,0.08
25,25,2025-10-24 18:30:00,0.07,0.09
26,26,2025-10-24 19:30:00,0.08,0.1
27,27,2025-10-24 20:30:00,0.09,0.09
28,28,2025-10-24 21:30:00,0.09,0.08
29,29,2025-10-24 22:30:00,0.08,0.06
30,30,2025-10-24 23:30:00,0.07,0.05
31,31,2025-10-25 00:30:00,0.06,0.04
32,32,2025-10-25 01:30:00,0.05,0.03
33,33,2025-10-25 02:30:00,0.05,0.03
34,34,2025-10-25 03:30:00,0.05,0.03
35,35,2025-10-25 04:30:00,0.04,0.03
36,36,2025-10-25 05:30:00,0.04,0.03
37,37,2025-10-25 06:30:00,0.04,0.03
38,38,2025-10-25 07:30:00,0.04,0.03
39,39,2025-10-25 08:30:00,0.04,0.03
40,40,2025-10-25 09:30:00,0.05,0.03
41,41,2025-10-25 10:30:00,0.05,0.04
42,42,2025-10-25 11:30:00,0.05,0.04
43,43,2025-10-25 12:30:00,0.05,0.04
44,44,2025-10-25 13:30:00,0.06,0.05
45,45,2025-10-25 14:30:00,0.06,0.06
46,46,2025-10-25 15:30:00,0.06,0.06
47,47,2025-10-25 16:30:00,0.06,0.06
48,48,2025-10-25 17:30:00,0.06,0.06
49,49,2025-10-25 18:30:00,0.06,0.06
50,50,2025-10-25 19:30:00,0.05,0.06
51,51,2025-10-25 20:30:00,0.05,0.06
52,52,2025-10-25 21:30:00,0.04,0.06
53,53,2025-10-25 22:30:00,0.04,0.06
54,54,2025-10-25 23:30:00,0.03,0.06
55,55,2025-10-26 00:30:00,0.03,0.07
56,56,2025-10-26 01:30:00,0.02,0.07
57,57,2025-10-26 02:30:00,0.01,0.08
58,58,2025-10-26 03:30:00,0.01,0.09
59,59,2025-10-26 04:30:00,0.0,0.1
60,60,2025-10-26 05:30:00,0.0,0.1
61,61,2025-10-26 06:30:00,0.0,0.11
62,62,2025-10-26 07:30:00,0.0,0.11
63,63,2025-10-26 08:30:00,0.01,0.12
64,64,2025-10-26 09:30:00,0.01,0.14
65,65,2025-10-26 10:30:00,0.02,0.17
66,66,2025-10-26 11:30:00,0.05,0.19
67,67,2025-10-26 12:30:00,0.08,0.17
68,68,2025-10-26 13:30:00,0.11,0.14
69,69,2025-10-26 14:30:00,0.12,0.11
70,70,2025-10-26 15:30:00,0.13,0.1
71,71,2025-10-26 16:30:00,0.17,0.12
72,72,2025-10-26 17:30:00,0.12,0.07
73,73,2025-10-26 18:30:00,0.06,0.05
74,74,2025-10-26 19:30:00,0.04,0.05
75,75,2025-10-26 20:30:00,0.03,0.04
76,76,2025-10-26 21:30:00,0.01,0.04
77,77,2025-10-26 22:30:00,0.0,0.04
78,78,2025-10-26 23:30:00,-0.01,0.04
79,79,2025-10-27 00:30:00,-0.02,0.04
80,80,2025-10-27 01:30:00,-0.03,0.04
81,81,2025-10-27 02:30:00,-0.03,0.06
82,82,2025-10-27 03:30:00,-0.04,0.07
83,83,2025-10-27 04:30:00,-0.04,0.09
84,84,2025-10-27 05:30:00,-0.03,0.11
85,85,2025-10-27 06:30:00,-0.02,0.12
86,86,2025-10-27 07:30:00,-0.01,0.12
87,87,2025-10-27 08:30:00,0.05,0.09
88,88,2025-10-27 09:30:00,0.09,0.06
89,89,2025-10-27 10:30:00,0.07,0.04
90,90,2025-10-27 11:30:00,0.04,0.04
91,91,2025-10-27 12:30:00,0.03,0.04
92,92,2025-10-27 13:30:00,0.03,0.05
93,93,2025-10-27 14:30:00,0.03,0.05
94,94,2025-10-27 15:30:00,0.03,0.06
95,95,2025-10-27 16:30:00,0.03,0.06
96,96,2025-10-27 17:30:00,0.03,0.06
97,97,2025-10-27 18:30:00,0.04,0.06
98,98,2025-10-27 19:30:00,0.04,0.06
99,99,2025-10-27 20:30:00,0.04,0.06
100,100,2025-10-27 21:30:00,0.04,0.05
101,101,2025-10-27 22:30:00,0.03,0.05
102,102,2025-10-27 23:30:00,0.03,0.04
103,103,2025-10-28 00:30:00,0.02,0.04
104,104,2025-10-28 01:30:00,0.02,0.03
105,105,2025-10-28 02:30:00,0.02,0.03
