Site,Date,Depth,chl
12_mas,2020-01-01,5,0.3561743199825287
12_mas,2020-01-01,10,0.3561917543411255
12_mas,2020-01-01,15,0.3562000095844269
12_mas,2020-01-01,20,0.3561968803405761
12_mas,2020-01-01,30,0.3561086654663086
12_mas,2020-01-01,40,0.3556149303913116
12_mas,2020-01-01,50,0.3537305295467376
12_mas,2020-01-02,5,0.3671005666255951
12_mas,2020-01-02,10,0.3671672344207763
12_mas,2020-01-02,15,0.3672283291816711
12_mas,2020-01-02,20,0.3673052787780761
12_mas,2020-01-02,30,0.3674592971801758
12_mas,2020-01-02,40,0.3676864206790924
12_mas,2020-01-02,50,0.3680872619152069
12_mas,2020-01-03,5,0.372893363237381
12_mas,2020-01-03,10,0.3729666471481323
12_mas,2020-01-03,15,0.3730316460132599
12_mas,2020-01-03,20,0.3731124997138977
12_mas,2020-01-03,30,0.3732752501964569
12_mas,2020-01-03,40,0.3735289573669433
12_mas,2020-01-03,50,0.3740121126174927
12_mas,2020-01-04,5,0.3803484141826629
12_mas,2020-01-04,10,0.3804312944412231
12_mas,2020-01-04,15,0.3804982602596283
12_mas,2020-01-04,20,0.3805765509605407
12_mas,2020-01-04,30,0.3807291090488434
12_mas,2020-01-04,40,0.3809834122657776
12_mas,2020-01-04,50,0.3815152049064636
12_mas,2020-01-05,5,0.39820396900177
12_mas,2020-01-05,10,0.398294597864151
12_mas,2020-01-05,15,0.3983707427978515
12_mas,2020-01-05,20,0.3984603583812713
12_mas,2020-01-05,30,0.3986441791057586
12_mas,2020-01-05,40,0.3989840745925903
12_mas,2020-01-05,50,0.3996294736862182
12_mas,2020-01-06,5,0.4104402363300323
12_mas,2020-01-06,10,0.4104706048965454
12_mas,2020-01-06,15,0.4104880690574646
12_mas,2020-01-06,20,0.4104947745800018
12_mas,2020-01-06,30,0.4104370176792145
12_mas,2020-01-06,40,0.409972995519638
12_mas,2020-01-06,50,0.408263623714447
12_mas,2020-01-07,5,0.4178342521190643
12_mas,2020-01-07,10,0.4173259139060974
12_mas,2020-01-07,15,0.4166610538959503
12_mas,2020-01-07,20,0.4154354929924011
12_mas,2020-01-07,30,0.4102390706539154
12_mas,2020-01-07,40,0.4005404412746429
12_mas,2020-01-07,50,0.3921564221382141
12_mas,2020-01-08,5,0.4135644435882568
12_mas,2020-01-08,10,0.412992000579834
12_mas,2020-01-08,15,0.4123661816120147
12_mas,2020-01-08,20,0.4114279747009277
12_mas,2020-01-08,30,0.4087772667407989
12_mas,2020-01-08,40,0.4020178616046905
12_mas,2020-01-08,50,0.3884325921535492
12_mas,2020-01-09,5,0.4142917394638061
12_mas,2020-01-09,10,0.4141467809677124
12_mas,2020-01-09,15,0.4139523804187774
12_mas,2020-01-09,20,0.4136139452457428
12_mas,2020-01-09,30,0.4122969508171081
12_mas,2020-01-09,40,0.4076775908470154
12_mas,2020-01-09,50,0.396689236164093
12_mas,2020-01-10,5,0.4253056347370147
12_mas,2020-01-10,10,0.4248502552509308
12_mas,2020-01-10,15,0.4241480529308319
12_mas,2020-01-10,20,0.4226146340370178
12_mas,2020-01-10,30,0.4151339828968048
12_mas,2020-01-10,40,0.3997180759906769
12_mas,2020-01-10,50,0.3867270946502685
12_mas,2020-01-11,5,0.4312329888343811
12_mas,2020-01-11,10,0.4305895864963531
12_mas,2020-01-11,15,0.429631620645523
12_mas,2020-01-11,20,0.4276493489742279
12_mas,2020-01-11,30,0.4195773005485534
12_mas,2020-01-11,40,0.40268075466156
12_mas,2020-01-11,50,0.3802760243415832
12_mas,2020-01-12,5,0.4287467300891876
12_mas,2020-01-12,10,0.4283656477928161
12_mas,2020-01-12,15,0.4278672933578491
12_mas,2020-01-12,20,0.4269269406795501
12_mas,2020-01-12,30,0.4232299029827118
12_mas,2020-01-12,40,0.4111726582050323
12_mas,2020-01-12,50,0.3832530379295349
12_mas,2020-01-13,5,0.4204577207565307
12_mas,2020-01-13,10,0.4202022850513458
12_mas,2020-01-13,15,0.4198982119560241
