Site,Date,Depth,chl,Source
7_hab,2020-01-01,5,0.4024109244346618,MY
7_hab,2020-01-01,10,0.4025076329708099,MY
7_hab,2020-01-01,15,0.4026004672050476,MY
7_hab,2020-01-01,20,0.4027231335639953,MY
7_hab,2020-01-01,30,0.4031518399715423,MY
7_hab,2020-01-01,40,0.3646197915077209,MY
7_hab,2020-01-02,5,0.4149759709835052,MY
7_hab,2020-01-02,10,0.4151171445846557,MY
7_hab,2020-01-02,15,0.4152441024780273,MY
7_hab,2020-01-02,20,0.4153978824615478,MY
7_hab,2020-01-02,30,0.4158719182014465,MY
7_hab,2020-01-02,40,0.3730790913105011,MY
7_hab,2020-01-03,5,0.4245228171348572,MY
7_hab,2020-01-03,10,0.4246868789196014,MY
7_hab,2020-01-03,15,0.4248264729976654,MY
7_hab,2020-01-03,20,0.4249874949455261,MY
7_hab,2020-01-03,30,0.4254618883132934,MY
7_hab,2020-01-03,40,0.3756849765777588,MY
7_hab,2020-01-04,5,0.4385391771793365,MY
7_hab,2020-01-04,10,0.4386534392833709,MY
7_hab,2020-01-04,15,0.4387403130531311,MY
7_hab,2020-01-04,20,0.4388369619846344,MY
7_hab,2020-01-04,30,0.4390961527824402,MY
7_hab,2020-01-04,40,0.3813273310661316,MY
7_hab,2020-01-05,5,0.4643230140209198,MY
7_hab,2020-01-05,10,0.4644618034362793,MY
7_hab,2020-01-05,15,0.4645739197731018,MY
7_hab,2020-01-05,20,0.4647018313407898,MY
7_hab,2020-01-05,30,0.465059757232666,MY
7_hab,2020-01-05,40,0.3986715674400329,MY
7_hab,2020-01-06,5,0.484834760427475,MY
7_hab,2020-01-06,10,0.4849387407302856,MY
7_hab,2020-01-06,15,0.4850336611270904,MY
7_hab,2020-01-06,20,0.4851532280445099,MY
7_hab,2020-01-06,30,0.4855281114578247,MY
7_hab,2020-01-06,40,0.4115089178085327,MY
7_hab,2020-01-07,5,0.498350590467453,MY
7_hab,2020-01-07,10,0.4983513057231903,MY
7_hab,2020-01-07,15,0.4983725845813751,MY
7_hab,2020-01-07,20,0.4984146356582641,MY
7_hab,2020-01-07,30,0.498632401227951,MY
7_hab,2020-01-07,40,0.4196504652500152,MY
7_hab,2020-01-08,5,0.5037575960159302,MY
7_hab,2020-01-08,10,0.5035499930381775,MY
7_hab,2020-01-08,15,0.5033866167068481,MY
7_hab,2020-01-08,20,0.5032088756561279,MY
7_hab,2020-01-08,30,0.5027421116828918,MY
7_hab,2020-01-08,40,0.4292779266834259,MY
7_hab,2020-01-09,5,0.5128167867660522,MY
7_hab,2020-01-09,10,0.5126760005950928,MY
7_hab,2020-01-09,15,0.5125539898872375,MY
7_hab,2020-01-09,20,0.5124107599258423,MY
7_hab,2020-01-09,30,0.5119289755821228,MY
7_hab,2020-01-09,40,0.4369783997535705,MY
7_hab,2020-01-10,5,0.5165725350379944,MY
7_hab,2020-01-10,10,0.5167575478553772,MY
7_hab,2020-01-10,15,0.5169119238853455,MY
7_hab,2020-01-10,20,0.5170692801475525,MY
7_hab,2020-01-10,30,0.5169618129730225,MY
7_hab,2020-01-10,40,0.4391526281833648,MY
7_hab,2020-01-11,5,0.51252281665802,MY
7_hab,2020-01-11,10,0.512818455696106,MY
7_hab,2020-01-11,15,0.5130468010902405,MY
7_hab,2020-01-11,20,0.5132893919944763,MY
7_hab,2020-01-11,30,0.5138064026832581,MY
7_hab,2020-01-11,40,0.4402943253517151,MY
7_hab,2020-01-12,5,0.5125423073768616,MY
7_hab,2020-01-12,10,0.5128167271614075,MY
7_hab,2020-01-12,15,0.5130075216293335,MY
7_hab,2020-01-12,20,0.5131839513778687,MY
7_hab,2020-01-12,30,0.5133940577507019,MY
7_hab,2020-01-12,40,0.436880499124527,MY
7_hab,2020-01-13,5,0.5129345059394836,MY
7_hab,2020-01-13,10,0.5130921006202698,MY
7_hab,2020-01-13,15,0.5131937265396118,MY
7_hab,2020-01-13,20,0.5132762789726257,MY
7_hab,2020-01-13,30,0.5132235884666443,MY
7_hab,2020-01-13,40,0.4369701445102691,MY
7_hab,2020-01-14,5,0.5199350714683533,MY
7_hab,2020-01-14,10,0.5198907852172852,MY
7_hab,2020-01-14,15,0.5198246836662292,MY
7_hab,2020-01-14,20,0.5196861624717712,MY
7_hab,2020-01-14,30,0.5177729725837708,MY
7_hab,2020-01-14,40,0.4464743435382843,MY
7_hab,2020-01-15,5,0.5232754945755005,MY
7_hab,2020-01-15,10,0.5229899287223816,MY
7_hab,2020-01-15,15,0.5226184725761414,MY
7_hab,2020-01-15,20,0.5218652486801147,MY
7_hab,2020-01-15,30,0.5156074166297913,MY
7_hab,2020-01-15,40,0.4463764131069183,MY
7_hab,2020-01-16,5,0.5165441632270813,MY
7_hab,2020-01-16,10,0.5165990591049194,MY
7_hab,2020-01-16,15,0.5165724754333496,MY
7_hab,2020-01-16,20,0.5164238810539246,MY
7_hab,2020-01-16,30,0.5141569972038269,MY
7_hab,2020-01-16,40,0.4423424303531647,MY
7_hab,2020-01-17,5,0.5204351544380188,MY
7_hab,2020-01-17,10,0.5206822156906128,MY
7_hab,2020-01-17,15,0.5208618640899658,MY
7_hab,2020-01-17,20,0.5210415124893188,MY
7_hab,2020-01-17,30,0.5213874578475952,MY
7_hab,2020-01-17,40,0.453348308801651,MY
7_hab,2020-01-18,5,0.5282794833183289,MY
7_hab,2020-01-18,10,0.5284373164176941,MY
7_hab,2020-01-18,15,0.52852463722229,MY
7_hab,2020-01-18,20,0.528560221195221,MY
7_hab,2020-01-18,30,0.5283094048500061,MY
7_hab,2020-01-18,40,0.4548224508762359,MY
7_hab,2020-01-19,5,0.526412308216095,MY
7_hab,2020-01-19,10,0.5266059041023254,MY
7_hab,2020-01-19,15,0.5267360806465149,MY
7_hab,2020-01-19,20,0.5268463492393494,MY
7_hab,2020-01-19,30,0.5270307064056396,MY
7_hab,2020-01-19,40,0.450836718082428,MY
7_hab,2020-01-20,5,0.5281118154525757,MY
7_hab,2020-01-20,10,0.5279872417449951,MY
7_hab,2020-01-20,15,0.5278524160385132,MY
7_hab,2020-01-20,20,0.5276474356651306,MY
7_hab,2020-01-20,30,0.5265557169914246,MY
7_hab,2020-01-20,40,0.4466097950935364,MY
7_hab,2020-01-21,5,0.5412970185279846,MY
7_hab,2020-01-21,10,0.5413987040519714,MY
7_hab,2020-01-21,15,0.5414587259292603,MY
7_hab,2020-01-21,20,0.5414889454841614,MY
7_hab,2020-01-21,30,0.5412253141403198,MY
7_hab,2020-01-21,40,0.4587538838386535,MY
7_hab,2020-01-22,5,0.5556434392929077,MY
7_hab,2020-01-22,10,0.5559114813804626,MY
7_hab,2020-01-22,15,0.5561287999153137,MY
7_hab,2020-01-22,20,0.5563678741455078,MY
7_hab,2020-01-22,30,0.5569828152656555,MY
7_hab,2020-01-22,40,0.4672155380249023,MY
7_hab,2020-01-23,5,0.5670889019966125,MY
7_hab,2020-01-23,10,0.5673519968986511,MY
7_hab,2020-01-23,15,0.5675570964813232,MY
7_hab,2020-01-23,20,0.5677613615989685,MY
7_hab,2020-01-23,30,0.5680350661277771,MY
7_hab,2020-01-23,40,0.473116785287857,MY
7_hab,2020-01-24,5,0.5863180756568909,MY
7_hab,2020-01-24,10,0.5864143371582031,MY
7_hab,2020-01-24,15,0.5864927172660828,MY
7_hab,2020-01-24,20,0.5865805149078369,MY
7_hab,2020-01-24,30,0.586717963218689,MY
7_hab,2020-01-24,40,0.4875117242336273,MY
7_hab,2020-01-25,5,0.5963820219039917,MY
7_hab,2020-01-25,10,0.596411943435669,MY
7_hab,2020-01-25,15,0.5964429378509521,MY
7_hab,2020-01-25,20,0.5964885354042053,MY
7_hab,2020-01-25,30,0.5965699553489685,MY
7_hab,2020-01-25,40,0.492261528968811,MY
7_hab,2020-01-26,5,0.5964342355728149,MY
7_hab,2020-01-26,10,0.596633791923523,MY
7_hab,2020-01-26,15,0.5968023538589478,MY
7_hab,2020-01-26,20,0.597000002861023,MY
7_hab,2020-01-26,30,0.5976058840751648,MY
7_hab,2020-01-26,40,0.4889077842235565,MY
7_hab,2020-01-27,5,0.5994165539741516,MY
7_hab,2020-01-27,10,0.5995135307312012,MY
7_hab,2020-01-27,15,0.5996085405349731,MY
7_hab,2020-01-27,20,0.5997301936149597,MY
7_hab,2020-01-27,30,0.6001240015029907,MY
7_hab,2020-01-27,40,0.4857693016529083,MY
7_hab,2020-01-28,5,0.5995456576347351,MY
7_hab,2020-01-28,10,0.5996116995811462,MY
7_hab,2020-01-28,15,0.5996930599212646,MY
7_hab,2020-01-28,20,0.5997942090034485,MY
7_hab,2020-01-28,30,0.6001487374305725,MY
7_hab,2020-01-28,40,0.4883865118026733,MY
7_hab,2020-01-29,5,0.5870878100395203,MY
7_hab,2020-01-29,10,0.586977481842041,MY
7_hab,2020-01-29,15,0.5868936777114868,MY
7_hab,2020-01-29,20,0.5867975354194641,MY
7_hab,2020-01-29,30,0.586407482624054,MY
7_hab,2020-01-29,40,0.4880348443984985,MY
7_hab,2020-01-30,5,0.5574827790260315,MY
7_hab,2020-01-30,10,0.5574672222137451,MY
7_hab,2020-01-30,15,0.5574476718902588,MY
7_hab,2020-01-30,20,0.557414174079895,MY
7_hab,2020-01-30,30,0.5571683049201965,MY
7_hab,2020-01-30,40,0.4671809077262878,MY
7_hab,2020-01-31,5,0.5163558125495911,MY
7_hab,2020-01-31,10,0.516349196434021,MY
7_hab,2020-01-31,15,0.5163426995277405,MY
7_hab,2020-01-31,20,0.5163328647613525,MY
7_hab,2020-01-31,30,0.5162020921707153,MY
7_hab,2020-01-31,40,0.440010517835617,MY
7_hab,2020-02-01,5,0.4930570721626282,MY
7_hab,2020-02-01,10,0.4929973185062408,MY
7_hab,2020-02-01,15,0.4929563403129577,MY
7_hab,2020-02-01,20,0.4929151535034179,MY
7_hab,2020-02-01,30,0.4927418231964111,MY
