Site,Date,Depth,Temp
10_tom,2020-01-01,5,6.374553680419922
10_tom,2020-01-01,10,6.374553680419922
10_tom,2020-01-01,15,6.374553680419922
10_tom,2020-01-01,20,6.374553680419922
10_tom,2020-01-01,30,6.374553680419922
10_tom,2020-01-01,40,6.374553680419922
10_tom,2020-01-01,50,6.375286124646664
10_tom,2020-01-02,5,6.203161731362343
10_tom,2020-01-02,10,6.203161731362343
10_tom,2020-01-02,15,6.203161731362343
10_tom,2020-01-02,20,6.203161731362343
10_tom,2020-01-02,30,6.203161731362343
10_tom,2020-01-02,40,6.203161731362343
10_tom,2020-01-02,50,6.203161731362343
10_tom,2020-01-03,5,6.1028168722987175
10_tom,2020-01-03,10,6.1028168722987175
10_tom,2020-01-03,15,6.1028168722987175
10_tom,2020-01-03,20,6.1028168722987175
10_tom,2020-01-03,30,6.103549316525459
10_tom,2020-01-03,40,6.103549316525459
10_tom,2020-01-03,50,6.103549316525459
10_tom,2020-01-04,5,6.032502226531506
10_tom,2020-01-04,10,6.032502226531506
10_tom,2020-01-04,15,6.032502226531506
10_tom,2020-01-04,20,6.032502226531506
10_tom,2020-01-04,30,6.032502226531506
10_tom,2020-01-04,40,6.032502226531506
10_tom,2020-01-04,50,6.032502226531506
10_tom,2020-01-05,5,6.00173956900835
10_tom,2020-01-05,10,6.002472013235092
10_tom,2020-01-05,15,6.002472013235092
10_tom,2020-01-05,20,6.002472013235092
10_tom,2020-01-05,30,6.002472013235092
10_tom,2020-01-05,40,6.002472013235092
10_tom,2020-01-05,50,6.002472013235092
10_tom,2020-01-06,5,5.924832925200462
10_tom,2020-01-06,10,5.924832925200462
10_tom,2020-01-06,15,5.924832925200462
10_tom,2020-01-06,20,5.924832925200462
10_tom,2020-01-06,30,5.924832925200462
10_tom,2020-01-06,40,5.924832925200462
10_tom,2020-01-06,50,5.924832925200462
10_tom,2020-01-07,5,5.951200917363167
10_tom,2020-01-07,10,5.951200917363167
10_tom,2020-01-07,15,5.951200917363167
10_tom,2020-01-07,20,5.951200917363167
10_tom,2020-01-07,30,5.951200917363167
10_tom,2020-01-07,40,5.951200917363167
10_tom,2020-01-07,50,5.951200917363167
10_tom,2020-01-08,5,5.971709355711937
10_tom,2020-01-08,10,5.971709355711937
10_tom,2020-01-08,15,5.971709355711937
10_tom,2020-01-08,20,5.971709355711937
10_tom,2020-01-08,30,5.971709355711937
10_tom,2020-01-08,40,5.971709355711937
10_tom,2020-01-08,50,5.971709355711937
10_tom,2020-01-09,5,5.9453413635492325
10_tom,2020-01-09,10,5.9453413635492325
10_tom,2020-01-09,15,5.9453413635492325
10_tom,2020-01-09,20,5.9453413635492325
10_tom,2020-01-09,30,5.9453413635492325
10_tom,2020-01-09,40,5.9453413635492325
10_tom,2020-01-09,50,5.9453413635492325
10_tom,2020-01-10,5,5.937284477055073
10_tom,2020-01-10,10,5.937284477055073
10_tom,2020-01-10,15,5.936552032828331
10_tom,2020-01-10,20,5.936552032828331
10_tom,2020-01-10,30,5.936552032828331
10_tom,2020-01-10,40,5.935819588601589
10_tom,2020-01-10,50,5.935819588601589
10_tom,2020-01-11,5,5.9241004809737206
10_tom,2020-01-11,10,5.9241004809737206
10_tom,2020-01-11,15,5.9241004809737206
10_tom,2020-01-11,20,5.9241004809737206
10_tom,2020-01-11,30,5.9241004809737206
10_tom,2020-01-11,40,5.9241004809737206
10_tom,2020-01-11,50,5.9241004809737206
10_tom,2020-01-12,5,5.893337823450565
10_tom,2020-01-12,10,5.893337823450565
10_tom,2020-01-12,15,5.893337823450565
10_tom,2020-01-12,20,5.893337823450565
10_tom,2020-01-12,30,5.893337823450565
10_tom,2020-01-12,40,5.893337823450565
10_tom,2020-01-12,50,5.893337823450565
10_tom,2020-01-13,5,5.855983167886734
10_tom,2020-01-13,10,5.855983167886734
10_tom,2020-01-13,15,5.855983167886734
10_tom,2020-01-13,20,5.855983167886734
10_tom,2020-01-13,30,5.855983167886734
10_tom,2020-01-13,40,5.855983167886734
10_tom,2020-01-13,50,5.855983167886734
10_tom,2020-01-14,5,5.818628512322903
10_tom,2020-01-14,10,5.818628512322903
10_tom,2020-01-14,15,5.818628512322903
10_tom,2020-01-14,20,5.818628512322903
10_tom,2020-01-14,30,5.818628512322903
10_tom,2020-01-14,40,5.818628512322903
10_tom,2020-01-14,50,5.818628512322903
10_tom,2020-01-15,5,5.835474729537964
10_tom,2020-01-15,10,5.835474729537964
10_tom,2020-01-15,15,5.835474729537964
10_tom,2020-01-15,20,5.835474729537964
10_tom,2020-01-15,30,5.835474729537964
10_tom,2020-01-15,40,5.835474729537964
10_tom,2020-01-15,50,5.835474729537964
10_tom,2020-01-16,5,5.847926281392574
10_tom,2020-01-16,10,5.847926281392574
10_tom,2020-01-16,15,5.847926281392574
10_tom,2020-01-16,20,5.847926281392574
10_tom,2020-01-16,30,5.847926281392574
10_tom,2020-01-16,40,5.847926281392574
10_tom,2020-01-16,50,5.847926281392574
10_tom,2020-01-17,5,5.8471938371658325
10_tom,2020-01-17,10,5.8471938371658325
10_tom,2020-01-17,15,5.8471938371658325
10_tom,2020-01-17,20,5.8471938371658325
10_tom,2020-01-17,30,5.8471938371658325
10_tom,2020-01-17,40,5.8471938371658325
10_tom,2020-01-17,50,5.8471938371658325
10_tom,2020-01-18,5,5.888210713863373
10_tom,2020-01-18,10,5.888210713863373
10_tom,2020-01-18,15,5.886745825409889
10_tom,2020-01-18,20,5.886013381183147
10_tom,2020-01-18,30,5.886013381183147
10_tom,2020-01-18,40,5.885280936956406
10_tom,2020-01-18,50,5.885280936956406
10_tom,2020-01-19,5,5.923368036746979
10_tom,2020-01-19,10,5.923368036746979
10_tom,2020-01-19,15,5.923368036746979
10_tom,2020-01-19,20,5.923368036746979
10_tom,2020-01-19,30,5.923368036746979
10_tom,2020-01-19,40,5.923368036746979
10_tom,2020-01-19,50,5.923368036746979
10_tom,2020-01-20,5,5.950468473136425
10_tom,2020-01-20,10,5.950468473136425
10_tom,2020-01-20,15,5.951200917363167
10_tom,2020-01-20,20,5.951200917363167
10_tom,2020-01-20,30,5.951200917363167
10_tom,2020-01-20,40,5.950468473136425
