Date,Depth,Temp,Salinity
2026-07-15 06:00:00,5,20.73,33.35
2026-07-15 06:00:00,10,19.66,33.60
2026-07-15 06:00:00,15,18.68,33.74
2026-07-15 06:00:00,20,17.50,33.72
2026-07-15 06:00:00,30,15.16,33.78
2026-07-15 06:00:00,40,13.66,33.85
2026-07-18 06:00:00,5,22.08,32.14
2026-07-18 06:00:00,10,21.60,32.87
2026-07-18 06:00:00,15,20.70,33.35
2026-07-18 06:00:00,20,19.03,33.62
2026-07-18 06:00:00,30,15.89,33.64
2026-07-18 06:00:00,40,13.66,33.76
2026-07-24 06:00:00,5,22.10,33.00
2026-07-24 06:00:00,10,21.05,33.30
2026-07-24 06:00:00,15,20.63,33.47
2026-07-24 06:00:00,20,20.11,33.58
2026-07-24 06:00:00,30,18.89,33.70
2026-07-24 06:00:00,40,13.18,33.89
2026-08-03 07:00:00,5,22.75,33.46
2026-08-03 07:00:00,10,22.84,33.65
2026-08-03 07:00:00,15,22.76,33.71
2026-08-03 07:00:00,20,22.68,33.82
2026-08-03 07:00:00,30,19.14,33.80
2026-08-03 07:00:00,40,14.42,33.86
